path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
61,51.46924901184143,28.0,39.0,597,0.08621314742351997,12782518.500163415
62,66.7951188336661,51.0,42.0,686,0.09736897789164153,13675452.529718623
63,37.63775136809768,20.0,30.0,552,0.06818433218858276,11516754.874164708
64,63.408786744059,28.0,53.0,674,0.0940783186113635,15198516.614703052
65,39.9855861923639,8.0,39.0,537,0.07446105436194395,7617897.695636899
66,58.193865264470006,39.0,39.0,549,0.10599975458009109,12007903.485191284
67,34.278820596099706,20.0,21.0,581,0.05899969121531791,12664882.867666246
68,39.02498439450079,1.0,39.0,482,0.08096469791390205,11279317.349631201
69,47.33688352641937,27.0,37.0,508,0.09318284158743971,10143558.256178707
70,32.929707513324956,22.0,16.0,697,0.047244917522704384,13508358.421370715
71,39.820982385781164,39.0,7.0,642,0.06202645231430088,9521074.12260171
72,15.556349186104045,11.0,11.0,678,0.02294446782611216,2531881.9667661865
73,30.993163310706468,23.0,20.0,629,0.04927370955597213,8134799.324370744
74,35.4728850478556,27.0,16.0,611,0.058057095004673646,12493373.5202317
75,40.10020458794713,34.0,20.0,580,0.06913828377232265,11797739.815885218
76,35.36773748694594,28.0,20.0,686,0.051556468639862886,13249358.826717885
77,53.11886718190218,39.0,36.0,661,0.08036137243858121,11278716.454926714
78,25.314213143594635,18.0,14.0,539,0.046965144978839767,6149581.144345738
79,22.267516039331966,20.0,7.0,621,0.035857513750937146,12180845.638298174
80,47.36887313858521,31.0,33.0,685,0.06915163961837256,14546843.011435721
81,26.329392570093297,20.0,17.0,598,0.044029084565373404,12614433.656717472
82,28.609796870835666,15.0,21.0,624,0.04584903344685203,12806505.262385521
83,37.57529549985706,30.0,19.0,647,0.05807619088076826,12657250.883719176
84,55.50281539872885,29.0,40.0,663,0.08371465369340701,12663811.619262919
85,24.886418616617327,20.0,14.0,672,0.03703336103663293,13418602.683167798
86,51.84304222009847,27.0,39.0,489,0.10601849124764513,9333510.902106121
87,36.12110344606536,20.0,24.0,628,0.05751768064660089,13073497.504870204
88,41.40749280815605,34.0,20.0,552,0.07501357392781893,10798423.66556249
89,37.34671165342939,16.0,31.0,556,0.06717034470041257,11100686.105956536
90,38.35530307777706,27.0,17.0,671,0.05716140548103883,12616861.025997225
91,30.00044201064054,22.0,20.0,666,0.045045708724685496,8426335.97787386
92,36.407116772878545,27.0,23.0,630,0.05778907424266436,12912587.806578163
93,43.24893082321928,22.0,30.0,636,0.06800146355852088,11695252.613950241
94,31.0312195418814,1.0,31.0,583,0.05322679166703499,6987095.770601526
95,72.6449144940147,28.0,52.0,676,0.10746289126333536,13097686.063476073
96,31.584250002403934,19.0,25.0,559,0.05650134168587466,7138970.288612864
97,58.503009143291415,57.0,7.0,514,0.11381908393636463,8663400.820253395
98,25.643065087527738,12.0,20.0,643,0.03988035005836351,5804975.159555094
99,52.1083756463066,24.0,37.0,634,0.0821898669500104,11361641.123584311
100,40.33513530391312,23.0,22.0,547,0.0737388213965505,10182025.155447548
101,61.811183182043095,44.0,43.0,607,0.10183061479743508,10612709.349373473
102,17.281802205591436,3.0,17.0,506,0.03415375929958782,5215950.120341493
103,68.44382371551129,37.0,56.0,600,0.11407303952585214,10711909.253498256
104,58.04938371787837,30.0,45.0,687,0.08449691953111844,7960748.542783583
105,41.5034996681946,29.0,19.0,681,0.060944933433472244,12934372.453495182
