path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
92,18.370872973743204,15.0,9.0,619,0.029678308519779005,4578260.704584748
93,26.487806144337682,17.0,18.0,643,0.04119409975791241,7199079.689307932
94,36.90892226463913,32.0,15.0,627,0.058865904728292076,8394815.1561795
95,30.772891497893472,19.0,21.0,621,0.049553770528008814,5808489.041012255
96,22.223493102763996,12.0,18.0,652,0.03408511212080367,5345467.177846212
97,42.48358227219891,24.0,29.0,667,0.06369352664497588,7747371.8342989
98,32.59592557075681,25.0,17.0,610,0.05343594355861772,7950555.193701383
99,44.952130007488854,37.0,22.0,654,0.0687341437423377,8398454.857854776
100,35.53840776159146,22.0,27.0,688,0.05165466244417363,7869472.985710241
101,33.2720218389875,28.0,14.0,679,0.04900150491750736,7537193.304440167
102,27.88088685084721,14.0,22.0,693,0.04023215995793249,6676485.835479584
103,37.36513572637222,21.0,21.0,656,0.05695904836337229,2804954.0446359627
104,24.977182167075235,13.0,19.0,630,0.03964632090011942,4322362.404151987
105,47.08429923128091,38.0,26.0,655,0.0718844263072991,6334051.641406339
106,37.737465207107284,16.0,31.0,691,0.05461282953271677,4646375.181214887
107,35.106050552345366,19.0,25.0,686,0.05117500080516817,8914444.39044016
108,16.8275523565834,11.0,10.0,641,0.026252031757540404,4669901.922157973
109,43.583669737307495,35.0,21.0,650,0.06705179959585769,8278406.005689675
110,22.28574092690949,18.0,10.0,654,0.03407605646316436,6134279.590357859
111,39.88982525477232,33.0,19.0,659,0.06053084257173341,7293995.377728536
112,28.70987537172968,10.0,26.0,624,0.04600941565982321,5831034.24243436
113,38.90748647609453,29.0,19.0,656,0.05931019279892459,8471722.52129245
114,32.12059100017112,16.0,25.0,686,0.04682301895068676,7684969.627785642
115,24.76818657675582,12.0,19.0,666,0.0371894693344682,7720070.9734096965
116,34.4264598580249,28.0,16.0,657,0.05239948228009878,6699775.63356168
117,36.78097757169658,18.0,28.0,688,0.053460723214675265,7719347.736763635
118,29.625804507939808,21.0,17.0,682,0.04343959605269766,6141536.847679806
119,37.56438113674242,24.0,27.0,653,0.057525851664230354,7385481.974987183
120,44.41481305822044,28.0,31.0,650,0.06833048162803144,8349698.688860313
121,43.159844794557,35.0,20.0,615,0.0701786094220439,7135197.621467492
122,41.12395817489141,23.0,26.0,692,0.059427685223831524,9198403.959160132
123,27.625966297163274,12.0,21.0,618,0.044702210836833775,8026157.973357992
124,29.912465237999957,17.0,22.0,645,0.04637591509767435,7571816.580894466
125,35.12673718785676,25.0,21.0,661,0.05314181117678784,8470762.728583066
126,28.384951624304016,12.0,23.0,676,0.04198957340873375,8322699.774090063
127,42.00006605647102,32.0,14.0,685,0.061313965045943095,8003467.6578451395
128,34.63416502104279,19.0,25.0,654,0.05295743887009601,7108576.6150759
129,31.146991095631865,27.0,10.0,634,0.04912774620762124,7250955.71244604
130,30.40764436122046,20.0,18.0,667,0.04558867220572783,7585289.127899988
131,45.77312318581651,28.0,35.0,653,0.07009666644076035,5510248.414252188
132,39.7808124243838,27.0,23.0,668,0.059552114407760176,8631532.469511164
133,24.812228710419518,17.0,16.0,678,0.03659620753749192,7641368.090167442
134,31.44936139230892,21.0,19.0,684,0.045978598526767424,6989344.849489684
135,33.1808119906846,27.0,17.0,642,0.05168350777365203,7012770.4908054955
136,36.38730108094935,26.0,19.0,662,0.05496571160264252,8426990.686248766
137,22.53390855177963,12.0,17.0,682,0.033040921630175406,8555705.662311621
138,30.843766846610826,21.0,15.0,698,0.044188777717207486,8950758.40566144
139,33.12509679982665,21.0,21.0,696,0.0475935298848084,8991837.80068271
140,37.40166763898144,29.0,21.0,688,0.05436288901014745,7962918.171530307
141,41.278079244909605,32.0,21.0,677,0.06097205206042778,8614297.15854474
142,30.894381468011048,21.0,19.0,669,0.04617994240360396,8449428.100340242
143,42.06964831854095,18.0,34.0,609,0.06907988229645476,8115944.379136889
144,23.20258278645655,15.0,16.0,698,0.03324152261669993,7712006.747230245
145,26.527300430865456,17.0,17.0,631,0.0420400957699928,7095285.277495091
146,31.589906418457083,17.0,24.0,669,0.047219591058979195,5288029.576007458
147,47.71800425437148,29.0,26.0,672,0.0710089349023385,7613489.873135437
148,38.60765581778925,23.0,27.0,692,0.055791410141313946,7813949.606465522
149,47.387524920150874,29.0,33.0,658,0.07201751507621713,8446388.54382427
150,42.54201996852279,37.0,17.0,659,0.06455541725117267,8466029.44071072
151,36.32170277031405,26.0,21.0,632,0.05747104868720577,8451536.463833159
152,39.589418917608334,34.0,18.0,650,0.060906798334782054,7255883.9009932745
153,38.561114717165545,23.0,29.0,676,0.057043069108233056,8764052.709857658
154,36.76602438412453,21.0,25.0,629,0.05845154910035696,8409660.545968886
155,22.113122279787035,12.0,15.0,693,0.03190926735900005,6829978.510358294
156,44.256236405992155,27.0,31.0,697,0.06349531765565589,8404028.126596548
157,41.31370849898476,32.0,18.0,648,0.06375572299226043,7042082.199306356
158,31.86485697534946,23.0,21.0,625,0.05098377116055914,5987816.451656492
159,30.634036416567614,24.0,18.0,659,0.04648563947885829,7567501.690670999
160,37.68441291359379,20.0,28.0,694,0.05430030679192189,8842664.092503231
161,38.170788648609104,34.0,14.0,673,0.056717367977130916,8663967.93216216
162,43.108275501163355,20.0,33.0,685,0.06293178905279322,7497142.328182828
