path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
64,35.51109071885487,2,1,680,0.0522221922336101
65,34.75345176593662,-2,2,665,0.052260829723212956
66,28.996749291693774,0,1,646,0.044886608810671476
67,41.96878171961849,0,-1,695,0.06038673628722085
68,35.16259751597819,0,2,696,0.050520973442497404
69,38.22104397083933,1,-1,698,0.05475794265163228
70,35.734013277115665,1,1,687,0.05201457536698059
71,39.40897518832473,0,-2,680,0.057954375276948134
72,38.624590197242235,-2,0,670,0.05764864208543617
73,34.71984796291724,-1,-2,652,0.053251300556621535
74,36.134061525290335,2,1,677,0.05337379841254111
75,33.95270715803007,-1,-1,674,0.0503749364362464
76,33.33518487099332,-2,2,660,0.050507855865141386
77,29.794326410993854,2,-2,649,0.04590805302156218
78,32.66192557029076,-1,-1,681,0.047961711556961474
79,41.159431301964204,0,-1,673,0.06115814457944161
80,33.001381044549724,-1,2,682,0.04838912176620194
81,35.988188916332135,0,1,683,0.052691345411906496
82,38.016514129530854,0,-2,655,0.05804047958707001
83,34.53357806215787,1,2,650,0.05312858163408903
84,40.59369348281753,2,0,666,0.06095149171594223
85,33.97734209498014,0,2,690,0.049242524775333536
86,38.0614421071583,2,-1,676,0.056303908442541864
87,34.34687210192294,-2,-2,647,0.05308635564439403
88,37.90107369437993,2,1,688,0.05508876990462199
89,39.285703141595846,-1,0,695,0.0565261915706415
90,39.01302156650075,1,2,653,0.05974429030091998
91,29.802607146317968,2,-1,644,0.046277340289313615
92,35.10349657507986,0,-2,651,0.05392242177431622
93,32.88650944527758,-2,-2,674,0.04879304071999641
94,39.45122736946483,0,1,693,0.05692817802231578
95,40.21698063659596,2,-1,691,0.058201129720109934
96,35.968735010639904,2,-2,664,0.054169781642529974
97,34.90968077872017,1,1,661,0.05281343536871433
98,36.60230056715776,-1,1,663,0.055207089844883504
99,33.23589741578295,-1,-2,642,0.05176931061648435
100,39.14692730449181,1,-1,675,0.05799544785850639
101,37.513693512188176,1,2,664,0.056496526373777375
102,37.18811829689199,-2,1,638,0.058288586672244506
103,33.75869364845184,0,-1,696,0.04850387018455724
104,36.32861216137382,2,-2,687,0.05288007592630833
105,30.66091109052945,-2,-1,665,0.04610663321884128
106,32.95611365363558,-1,-2,681,0.04839370580563228
107,35.87955953705774,0,1,661,0.05428072547209945
108,38.17525251769053,2,-2,654,0.058371945745704173
109,40.52550810432289,-2,-1,660,0.06140228500654983
110,29.18707252502335,1,0,687,0.04248482172492482
111,31.06956642304436,-2,2,682,0.045556549007396425
112,35.43734711050205,0,0,654,0.05418554604052302
113,35.06855194328305,-1,2,670,0.05234112230340753
114,38.40474778557082,2,2,674,0.056980337960787567
115,37.68729534696461,2,-2,659,0.05718861205912688
116,32.847663759742986,0,-1,698,0.047059690200204854
117,30.49132588101778,2,2,663,0.045989933455532095
118,35.60538071374715,-2,2,670,0.053142359274249484
119,37.85224880362034,-1,0,678,0.05582927552156393
120,40.197542147775,2,2,669,0.06008601217903588
121,35.12647433590953,-2,2,693,0.0506875531542706
122,29.426877487750392,0,-2,689,0.042709546426343094
123,32.97738880395873,1,-1,655,0.05034715847932631
124,40.79417540675391,-2,1,683,0.05972792885322681
125,31.522625670952053,-2,0,657,0.047979643334782426
126,38.9680935888733,-2,2,687,0.05672211584988836
127,32.79262380048734,2,-2,691,0.047456763821255195
128,30.51182555857865,1,-2,697,0.0437759333695533
129,34.49863343036107,-2,2,658,0.052429534088694635
130,37.36911502302881,0,-2,698,0.05353741407310718
131,40.9645543168646,1,-2,684,0.0598896992936617
132,32.69552937331013,-1,2,663,0.04931452394164424
133,34.63493118419631,2,0,693,0.049978255677050956
134,31.193645234642847,-2,-2,671,0.04648829394134552
135,40.586432642452834,-2,1,696,0.05831384000352419
136,39.679661448605216,2,1,655,0.06057963579939728
137,28.106219080545795,2,-2,686,0.040971164840445766
138,32.57343822745379,0,-1,666,0.04890906640758828
139,34.17221908007974,-2,2,680,0.05025326335305844
140,33.677642490755744,2,2,694,0.048526862378610584
141,37.86742859758007,2,0,645,0.05870919162415515
142,36.05925672819762,2,2,684,0.052718211590932186
143,36.009941419911364,2,1,652,0.05522997150293154
144,36.114343396431856,-1,1,699,0.051665727319645
145,31.207525493605633,1,0,678,0.046028798663135154
146,34.37032721600868,-1,0,643,0.05345307498601661
147,37.49863343036107,1,0,693,0.054110582150593174
148,41.32235038389918,2,1,696,0.05937119308031491
149,39.81949847444917,1,-1,671,0.05934351486505092
150,40.14692730449181,2,1,670,0.05992078702162957
151,43.25513819138536,0,1,638,0.06779802224355072
152,29.232863978172162,1,-2,653,0.044767019874689375
153,34.95757725714306,-1,-2,674,0.05186584162780869
154,37.43413832811508,-1,0,665,0.056291937335511404
155,38.56244040186185,1,-1,656,0.05878420792966745
156,29.04152626508127,2,0,647,0.044886439358703664
157,42.46794335281986,0,2,697,0.0609296174358965
158,28.893945630418447,-2,2,684,0.0422426105707872
159,37.547948738647314,1,-1,657,0.05715060690813899
160,38.937734000953846,2,-2,648,0.06008909568048433
161,32.42130384102094,-2,1,672,0.04824598785866212
162,33.97787922148539,0,-2,640,0.05309043628357092
163,37.02382167887415,1,2,668,0.05542488275280561
164,29.757679168690526,2,0,658,0.045224436426581346
165,35.11733012506405,0,-2,675,0.05202567425935415
166,31.70564135493834,1,-1,671,0.04725132839782167
167,30.935136622818636,0,-1,685,0.04516078339097611
168,31.76526635807134,-2,2,678,0.046851425306889884
169,32.46893195567195,0,1,669,0.04853353057649021
170,34.98396151357823,1,0,645,0.054238700021051515
171,47.42800518643801,1,-2,691,0.06863676582697252
172,37.469082959911894,2,2,684,0.05477936105250277
173,35.79616307249604,-1,1,693,0.051653914967526755
174,32.77285896265026,1,-1,670,0.04891471486962726
175,39.84855852737168,-1,1,680,0.058600821363781884
176,31.89142083817106,-1,0,687,0.04642128215163182
177,40.495467216347066,2,-1,680,0.05955215767109863
178,38.07143437665388,-2,0,683,0.05574148517811696
179,33.47366800378925,1,2,659,0.050794640369938165
180,32.259889656373936,0,-1,661,0.04880467421539173
181,39.46888524669335,1,2,677,0.05829968278684394
182,34.974506370587896,0,-2,634,0.05516483654666861
183,39.44091767461808,2,2,666,0.059220597109036155
184,38.771885776669436,-1,2,651,0.059557428228370866
185,39.774231083535014,0,-2,680,0.0584915162993162
186,40.03380088409914,-1,-2,665,0.06020120433699119
187,34.524970977817645,-2,1,648,0.05327927620033587
188,41.870999161696105,0,0,699,0.059901286354357805
189,33.56009509499626,2,1,674,0.04979242595696774
190,40.21142240673778,-2,-1,671,0.05992760418291771
191,36.97430865736935,1,0,693,0.053353980746564715
192,40.93918454019074,-2,0,637,0.06426873554190068
193,38.955915940417036,2,-2,674,0.05779809486708759
194,37.45220055544566,2,0,690,0.05427855152963139
195,37.736206305148826,-2,0,642,0.05877913754696079
196,36.56735593536095,0,-1,675,0.054173860644979185
197,45.04338880349268,0,0,699,0.06443975508368052
198,39.37674892138823,1,2,671,0.05868367946555623
199,41.51771013745295,-1,2,684,0.06069840663370314
200,42.3829952819916,2,2,638,0.06643102708776112
201,27.314929615629584,-1,0,660,0.04138625699337816
202,35.003368710291866,-1,-2,686,0.051025318819667445
203,35.40186535219998,1,0,699,0.05064644542517879
204,40.89499140228709,-1,-1,687,0.059526916160534335
205,38.30871454713353,-1,2,699,0.05480502796442566
206,33.44814722287544,0,-2,669,0.049997230527467025
207,36.33348226048681,2,0,687,0.052887164862426214
208,36.28720038981134,-2,-1,634,0.057235331845128294
209,37.608919985755854,-1,0,679,0.05538868922791731
210,32.353040461440386,-2,-2,669,0.04836029964340865
211,35.76834650466073,0,1,636,0.056239538529340764
212,34.33469445346666,-2,0,675,0.050866214005135794
213,39.91723432339297,0,-2,681,0.05861561574653887
214,33.110757415444546,-1,0,640,0.0517355584616321
215,38.88841869266759,1,-2,657,0.059190896031457524
216,35.800210989868155,-2,-1,680,0.05264736910274729
