path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
61,13.694323451653613,0,6,636,0.021531955112662912
62,35.12116734070352,-2,7,596,0.058928133121985776
63,28.476280123747635,-1,6,662,0.04301552888783631
64,38.76217651219312,3,-1,688,0.05634037283749
65,27.804623643598923,-5,0,615,0.04521077015219337
66,19.022600562229325,1,1,658,0.028909727298220857
67,14.122417494872465,1,0,657,0.021495308211373614
68,13.714776642118865,1,0,665,0.020623724273862956
69,15.722900958004928,0,3,696,0.022590374939662254
70,20.228009718084746,0,-1,641,0.031556957438509746
71,31.075006022336456,0,0,669,0.04644993426358215
72,19.837882267736525,0,2,593,0.033453427095677106
73,14.344604991526499,-1,1,665,0.02157083457372406
74,14.0,0,0,679,0.020618556701030927
75,47.858827949690856,7,0,624,0.07669683966296612
76,23.861186377582317,-2,-1,674,0.03540235367593816
77,29.49416001230802,-3,0,653,0.04516716694074735
78,53.65124219587504,0,-5,662,0.08104417250132182
79,59.17801080701936,1,3,663,0.08925793485221624
80,29.315556236287904,-3,-7,600,0.04885926039381317
81,28.838227446618298,2,1,583,0.04946522718116346
82,20.625966297163274,0,2,643,0.032077708082680054
83,33.77307489483643,2,-2,624,0.05412351745967376
84,26.683502275617123,4,2,661,0.040368384683233165
85,22.43686083358102,-3,0,635,0.03533363910800161
86,15.0,0,3,690,0.021739130434782608
87,30.30271696054373,1,0,637,0.047570984239472106
88,18.60112615949154,3,-5,667,0.027887745366554032
89,32.81452897254752,2,-2,649,0.050561677923802034
90,30.45580814116539,0,-6,695,0.043821306677935816
91,9.892922226992171,0,-1,610,0.0162179052901511
92,12.47213595499958,0,2,683,0.018260813989750484
93,27.090832649702563,-2,4,664,0.040799446761600244
94,12.300563079745771,0,-1,637,0.019310146122049877
95,16.469413449533644,0,1,626,0.026308967171778982
96,52.695387480743804,4,0,683,0.07715283672144041
97,16.718347206234903,-1,1,674,0.024804669445452378
98,10.30056307974577,-2,-1,609,0.01691389668266957
99,18.16044976076179,0,2,692,0.026243424509771372
100,26.401356484953617,0,3,663,0.03982105050520907
101,23.152946437965905,-2,-7,593,0.039043754532826144
102,32.635184503558676,0,6,588,0.05550201446183448
103,29.32711475158898,1,3,627,0.046773707737781466
104,12.242640687119286,-2,0,678,0.01805699216389275
105,27.0873209249765,2,0,673,0.040248619502193904
106,16.211752734790178,-1,2,629,0.025773851724626675
107,7.656854249492381,-1,-1,620,0.012349764918536097
108,14.43397840021018,0,-1,687,0.021010157787787743
109,24.880024063369078,0,4,657,0.037869138604823556
110,11.071067811865477,-2,0,627,0.017657205441571733
111,23.03936325456295,0,3,567,0.04063379762709515
112,35.08938134664393,2,2,652,0.053818069550067384
113,30.792094161485217,0,-5,598,0.051491796256664245
114,32.41823499211549,-1,6,672,0.048241421119219474
115,35.22089747864132,2,-3,666,0.05288423044841039
116,21.284659743746168,2,-5,599,0.03553365566568643
117,43.767742937225286,5,-2,554,0.07900314609607452
118,40.68406511350125,-6,2,588,0.06919058692772322
119,37.49281388766539,3,2,632,0.059324072607065494
120,27.058770451276587,3,-2,630,0.042950429287740614
121,28.194173437483137,0,-4,603,0.04675650652982278
122,49.474156367105586,0,-2,600,0.08245692727850931
123,18.390287378253124,-2,-2,626,0.02937745587580371
124,13.70820393249937,-1,3,650,0.02108954451153749
125,18.965541645124212,0,0,632,0.03000876842582945
126,15.29126786466034,-1,-3,685,0.022323018780526043
127,15.971297588200937,-1,-1,595,0.026842516954959556
128,10.89292222699217,-2,-2,683,0.015948641620779164
129,10.122417494872465,-1,0,633,0.015991180876575774
130,29.913062643893596,-1,2,608,0.04919911619061447
131,41.120887131207695,0,-5,646,0.06365462404211718
132,42.08469285541365,-2,-5,580,0.07255981526795457
133,17.81913190966076,1,-4,696,0.02560220101962753
134,18.171732803158715,-2,2,653,0.027828074736843362
135,32.242640687119284,-3,1,699,0.046126810711186385
136,11.595241580617241,0,0,680,0.017051825853848884
137,14.47213595499958,0,0,646,0.022402687236841454
138,21.71717614546618,-3,0,682,0.031843366782208476
139,27.422980574618233,1,0,643,0.04264849233999725
140,23.320343894920683,3,-3,632,0.036899278314747916
141,30.084221771317097,0,1,603,0.04989091504364361
142,27.449693075904264,0,-4,619,0.044345223062850186
143,11.84161925296378,0,0,572,0.02070213156112549
144,26.03628540381896,0,3,645,0.040366333959409244
145,22.782748437046994,-1,-2,683,0.03335687911719911
146,24.937916261090628,1,-4,656,0.03801511625166254
