path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy,energy_new
143,8,53,129.20001220703122,3.605551275463989,-2,-3,0.06802926934837715,23178936.93096222,13729388.520247705
143,7,61,145.10000610351562,4.242640687119285,3,3,0.06955148667408663,14267952.009170566,6607002.716004992
143,6,51,124.89996337890624,2.23606797749979,-2,-1,0.043844470147054705,18454645.351683106,8537135.707697196
143,5,47,113.64996337890624,2.23606797749979,-2,1,0.04757591441488915,20696515.978991386,11755746.475614514
143,4,66,160.3499755859375,5.0,4,-3,0.07575757575757576,12206476.707320305,3471035.0796247656
143,3,52,128.75,2.23606797749979,-2,-1,0.04300130725961134,14699617.67428289,6172770.783112758
143,2,51,123.54998779296876,3.1622776601683795,1,3,0.06200544431702705,2340031.6546177207,511389.59032444656
144,8,64,155.14999389648438,2.23606797749979,1,2,0.034938562148434216,30175932.333493114,17661103.679967318
144,7,53,128.89999389648438,2.23606797749979,-2,1,0.04218996183961868,22060902.070001006,10742565.280339127
144,6,66,159.79998779296875,3.605551275463989,2,-3,0.05462956477975741,32143738.663189653,15077470.366926536
144,5,53,129.9000244140625,2.23606797749979,1,2,0.04218996183961868,18381493.04739499,8934178.03122282
144,4,42,98.60009765625,3.1622776601683795,-3,-1,0.07529232524210427,1738166.727867904,407210.13486007525
144,3,66,161.300048828125,4.47213595499958,4,2,0.06775963568181181,16437845.536967013,4842583.520577808
145,8,45,110.3000030517578,4.123105625617661,4,1,0.09162456945817024,21239416.9435876,13043325.349874392
145,7,59,145.300048828125,4.123105625617661,-4,1,0.0698831461969095,29190979.12827264,14203821.020899206
145,6,47,110.80001831054688,2.8284271247461903,2,-2,0.060179300526514684,5592183.805089271,2509774.5753503568
145,5,44,104.75006103515624,1.4142135623730951,-1,-1,0.03214121732666125,9730934.039651519,6031544.69593207
145,4,59,144.50006103515625,3.1622776601683795,3,1,0.053597926443531854,39845073.81027106,19149914.448375493
145,3,49,122.35003662109376,2.23606797749979,-2,-1,0.04563404035713857,54183657.640931875,22054905.544240493
145,2,65,163.7999267578125,2.23606797749979,-1,2,0.034401045807689073,49141106.734535865,17200928.585688107
145,1,61,157.0001220703125,1.4142135623730951,1,1,0.023183828891362217,22819273.629461862,8746640.067983652
146,8,50,125.89999389648438,3.605551275463989,2,-3,0.07211102550927978,14862204.400466332,7077120.531047075
146,7,54,132.89999389648438,3.605551275463989,2,3,0.06676946806414795,30580569.59863661,13676228.150472688
146,6,60,156.50003051757812,1.4142135623730951,-1,1,0.023570226039551587,19787660.480688468,7117571.329288871
146,5,61,146.45001220703125,3.605551275463989,-2,-3,0.05910739795842605,7190392.802125365,3057435.290054398
146,4,69,174.35003662109375,3.1622776601683795,3,1,0.04583011101693304,51388284.1479834,20723460.490980834
146,3,43,102.79998779296876,2.8284271247461903,-2,2,0.06577737499409744,5689081.577810453,2125564.2736320496
146,2,43,110.7501220703125,2.8284271247461903,-2,-2,0.06577737499409744,30216182.848240513,10702189.61046224
147,10,52,128.25,4.123105625617661,1,4,0.07929049280033963,7293789.198084874,2888912.637693744
147,9,42,109.05001831054688,2.8284271247461903,-2,-2,0.06734350297014739,12722624.058130715,7496535.773662098
147,8,51,124.25003051757812,1.4142135623730951,-1,1,0.0277296776935901,4355304.35710235,1205122.3986226476
147,7,47,113.3499755859375,1.4142135623730951,-1,1,0.030089650263257342,17841291.474533495,8414348.355246473
147,6,54,127.9500732421875,5.0,4,-3,0.09259259259259259,9089615.303658187,3626423.1975010047
147,5,53,130.0,2.8284271247461903,-2,2,0.053366549523513024,8545599.446426954,3952434.9251748994
147,4,41,102.5,1.4142135623730951,1,1,0.034493013716416956,10022737.89991002,3753621.0378097882
147,3,64,153.49993896484375,5.0,-3,-4,0.078125,3914370.2523350674,1080561.2126508453
148,9,44,112.1999969482422,2.8284271247461903,-2,-2,0.0642824346533225,49177688.33232227,18042527.559937563
148,8,65,169.10000610351562,3.1622776601683795,1,3,0.04865042554105199,41560224.062806204,14603202.62137911
148,7,49,118.60000610351562,3.1622776601683795,1,-3,0.06453627877894652,10524604.04901506,4402102.880874295
148,6,57,145.3499755859375,4.242640687119285,-3,3,0.07443229275647868,6049367.560094111,2156277.4388264134
148,5,60,149.300048828125,4.123105625617661,4,-1,0.06871842709362767,10115159.497843163,4283687.912806611
148,4,48,127.0999755859375,2.8284271247461903,-2,-2,0.05892556509887897,14385361.068079026,6862356.3154783305
149,10,40,98.3000030517578,4.47213595499958,4,-2,0.1118033988749895,3665585.542477458,1789465.3291872563
149,9,51,125.05001831054688,3.1622776601683795,-3,1,0.06200544431702705,4531210.005752551,1983660.316682947
149,8,51,128.80001831054688,3.1622776601683795,-1,3,0.06200544431702705,13442188.614964943,4739572.547088312
149,7,55,138.5,1.4142135623730951,1,-1,0.025712973861329,10935251.977668663,4451767.825918082
149,6,52,125.25006103515624,2.23606797749979,2,1,0.04300130725961134,5196753.862127333,1958003.9449535278
149,5,52,136.1500244140625,4.123105625617661,-1,-4,0.07929049280033963,5513399.353802348,2002479.9455913343
149,4,54,130.29998779296878,2.23606797749979,-1,2,0.04140866624999611,4206554.716909102,1480820.9952567338
149,3,48,127.75,1.4142135623730951,1,1,0.029462782549439483,39150881.687424675,13470866.06387475
150,9,68,171.14999389648438,4.123105625617661,-4,1,0.06063390625908324,18455064.314089052,7038154.796506354
150,8,45,117.8499755859375,3.1622776601683795,1,-3,0.07027283689263066,4455914.893671492,1467354.290834578
150,7,52,133.54998779296878,1.4142135623730951,-1,1,0.02719641466102106,10943244.94121285,5255146.04507509
150,6,45,113.050048828125,5.0,4,3,0.1111111111111111,26726542.108995497,12435179.704248866
150,5,66,174.50006103515625,4.47213595499958,-4,-2,0.06775963568181181,21188553.273260653,5097814.418424026
150,4,49,120.35003662109376,2.8284271247461903,2,2,0.05772300254584062,5949297.99107107,2703156.949964327
150,3,46,115.04998779296876,3.1622776601683795,-1,-3,0.06874516652539955,17782294.85598516,5359428.727879233
150,2,65,168.6500244140625,2.23606797749979,2,1,0.034401045807689073,41756041.15597988,13213956.414561573
150,1,50,129.4500732421875,3.605551275463989,-3,2,0.07211102550927978,35489517.5332475,11119102.899848493
150,0,41,101.85009765625,4.123105625617661,4,-1,0.10056355184433319,5492928.64408729,2192660.9462590655
151,8,44,110.45000457763672,1.4142135623730951,1,1,0.03214121732666125,18066375.387001444,8692309.715145722
151,7,64,166.6499786376953,2.23606797749979,1,-2,0.034938562148434216,29698261.613743387,9613058.128079245
151,6,49,126.54998779296876,4.123105625617661,-4,-1,0.08414501276770736,14728534.159839079,3487873.489808687
151,5,46,121.54998779296876,5.656854249492381,4,4,0.12297509238026914,9917530.832136946,1951858.7220407694
151,4,42,99.4500732421875,5.0,-4,-3,0.11904761904761904,1808697.1511161034,415271.1754083703
151,3,65,176.85003662109375,4.123105625617661,4,-1,0.0634323942402717,24201457.760762587,6741404.379601204
152,9,66,170.59999084472656,2.23606797749979,-1,2,0.03387981784090591,15967489.955132015,6540877.658670866
152,8,52,131.25,3.1622776601683795,3,1,0.060813031926314993,39869494.15302674,13150718.911601366
152,7,60,153.55001831054688,1.4142135623730951,-1,1,0.023570226039551587,16761652.899850035,7032681.553597626
