,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
1085,53,6,68,65.09999084472656,1.4142135623730951,-1,-1,0.020797258270192576,4469056.108614932
1086,53,5,53,50.05001831054688,1.0,0,-1,0.018867924528301886,2163879.6053086817
1087,53,4,46,47.0,1.0,0,1,0.021739130434782608,11392819.7470743
1088,53,3,77,79.0999755859375,1.0,-1,0,0.012987012987012988,80716365.32573025
1089,53,2,44,44.04998779296875,2.0,2,0,0.045454545454545456,57260388.68552242
1090,53,1,50,53.20001220703125,2.23606797749979,-1,-2,0.044721359549995794,62633848.29615092
1091,53,0,59,61.1500244140625,2.8284271247461903,-2,2,0.047939442792308315,53989514.85634517
1092,54,7,64,66.09999847412111,2.23606797749979,-2,1,0.034938562148434216,28096021.90865865
1093,54,6,72,75.04998779296875,3.6055512754639887,3,-2,0.050077101048110965,60151849.92254885
1094,54,5,69,71.19999694824219,5.0,-3,4,0.07246376811594203,51508082.77459137
1095,54,4,42,44.20001220703125,3.0,3,0,0.07142857142857142,41255167.96858788
1096,54,3,54,55.0,2.8284271247461903,-2,-2,0.05237828008789242,23994498.40301909
1097,54,2,67,64.10000610351561,1.0,1,0,0.01492537313432836,3508642.808780894
1098,54,1,52,51.20001220703125,2.23606797749979,-2,-1,0.043001307259611335,6695845.814470247
1099,54,0,50,52.44998168945313,3.1622776601683795,3,-1,0.0632455532033676,2692203.842615835
1100,55,7,70,68.20000457763672,2.23606797749979,-1,-2,0.031943828249997,10548240.040072512
1101,55,6,43,43.0,2.23606797749979,-1,2,0.052001580872088136,22358835.013037976
1102,55,5,42,45.14999389648438,2.0,0,-2,0.047619047619047616,22740998.669720624
1103,55,4,78,80.25,4.47213595499958,-2,4,0.05733507634614845,5580842.215005668
1104,55,3,57,59.35000610351562,2.0,2,0,0.03508771929824561,5677557.042554499
1105,55,2,59,60.25,1.0,-1,0,0.01694915254237288,11311677.094307406
1106,55,1,77,80.29995727539062,2.23606797749979,-1,-2,0.029039843863633636,61863368.75169928
1107,55,0,68,69.699951171875,3.6055512754639887,3,-2,0.05302281287447043,24113533.26562296
1108,56,8,52,52.25000381469727,3.1622776601683795,-3,-1,0.06081303192631499,10371414.130301924
1109,56,7,58,61.10000610351562,4.47213595499958,4,2,0.07710579232757896,27097265.085034333
1110,56,6,71,74.09999084472656,0.0,0,0,0.0,28842942.66535644
1111,56,5,66,66.30000305175781,2.0,-2,0,0.030303030303030307,24034294.312912
1112,56,3,56,55.0,3.6055512754639887,2,3,0.06438484420471409,52560430.64064639
1113,56,2,62,63.0999755859375,1.4142135623730951,-1,-1,0.022809896167307987,36145317.39314295
1114,56,1,40,43.0999755859375,2.23606797749979,1,-2,0.05590169943749475,48672592.56647501
1115,56,0,54,59.20001220703125,4.0,0,4,0.07407407407407407,18690336.100063134
1116,57,7,43,43.0,2.0,0,-2,0.04651162790697674,9143789.205900352
1117,57,5,65,67.29998779296875,0.0,0,0,0.0,10718066.93741794
1118,57,3,61,65.25,0.0,0,0,0.0,30391759.055946816
1119,57,2,69,71.95001220703125,1.4142135623730951,-1,-1,0.02049584873004486,5574637.415167284
1120,57,0,61,66.60000610351561,3.1622776601683795,-1,-3,0.0518406173798095,79560858.58154015
1121,58,7,59,61.10000228881836,4.47213595499958,-2,4,0.0757989144915183,12906512.919049868
1122,58,5,77,79.29999542236328,4.123105625617661,4,-1,0.05354682630672287,6667082.455540989
1123,58,4,57,60.35000610351562,2.0,0,-2,0.03508771929824561,98670584.68410024
1124,58,3,56,59.19999694824219,0.0,0,0,0.0,41937720.66177671
1125,58,2,67,70.3499755859375,2.23606797749979,-1,2,0.03337414891790731,29628101.54574712
