,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
529,16,7,78,86.94999694824219,1.0,14.263885269221143,1.0,0.0,9.725080290809274,9.870920835994184,0.05216709151864052,0.01282051282051282,1562975.1914751309,216745.66135160503
530,16,6,88,85.95001220703125,7.071067811865476,11.774660466978036,1.0,7.0,4.032902717590332,4.246990203857422,0.014544814825057985,0.08035304331665312,1466598.5267947516,205364.87083355102
531,16,3,93,79.94998168945312,5.0,14.330625890929243,5.0,0.0,1.193220138549805,1.1299527883529663,0.05819627642631533,0.053763440860215055,1382018.6712549927,199477.21296853974
532,16,2,81,79.20001220703125,9.486832980505136,13.444294256399832,3.0,9.0,2.0106768608093257,4.7682679891586295,0.07944083213806152,0.11712139482105108,1500341.176419504,210089.78685873863
533,17,8,81,92.0,10.0,34.74335361589033,8.0,6.0,2.993828296661377,3.1678290367126465,0.15271474421024325,0.12345679012345677,2038998.813797404,272472.6776167272
534,17,7,80,72.94999694824219,1.4142135623730951,24.07460629928694,1.0,1.0,19.59270016103983,12.734904042445125,0.10891112685203552,0.017677669529663688,1330555.4163534294,202907.79874220162
535,17,5,95,98.95001220703124,1.4142135623730951,18.31699652436001,1.0,1.0,9.344416975975037,3.645705223083496,0.07325267791748047,0.014886458551295738,1967960.8790588318,258405.9230366991
536,17,4,99,77.94998168945312,1.0,14.821697797678487,0.0,1.0,9.496238946914671,6.043431520462036,0.045633446425199516,0.010101010101010102,1296407.1003660043,191144.79885106176
537,17,3,79,73.95004272460938,4.47213595499958,10.545606826017057,2.0,4.0,2.4190053939819336,4.177062392234801,0.013793972320854664,0.05660931588607063,1134403.4043898396,172994.8973498901
538,17,2,82,82.94998168945312,12.727922061357855,10.34131886642198,9.0,9.0,0.22086143493652344,1.1611390113830566,0.01156008429825306,0.15521856172387627,1336976.660089632,192975.95865074891
539,17,1,90,77.55001831054688,3.0,11.304974475618534,0.0,3.0,0.8943252563476562,1.0092105865478516,0.026012573391199112,0.03333333333333333,1382807.0360779727,197543.86229685327
540,18,7,75,110.1999969482422,9.219544457292887,30.388036941064016,7.0,6.0,0.1377544403076172,1.8651018142700195,0.06805460900068283,0.12292725943057185,2309065.2944933143,284226.28986781405
541,18,5,86,81.94999694824219,4.242640687119285,13.055516759481227,3.0,3.0,16.85920350719243,10.762594098225236,0.01894764602184296,0.04933303124557308,1308873.383516757,190918.80495849226
542,18,4,86,86.99996948242188,5.0,15.678944272361312,5.0,0.0,2.0585336685180664,2.2066969871521,0.04887968301773071,0.05813953488372092,1458336.9156383763,206239.98446051398
543,18,3,88,87.95001220703125,4.0,16.606997068948008,0.0,4.0,1.0200014114379885,4.82335901260376,0.033078491687774665,0.045454545454545456,1444890.4080010506,204338.36111378804
544,18,2,91,96.05001831054688,5.0990195135927845,15.365354935041216,1.0,5.0,0.1331186294555664,4.014701843261719,0.10100080072879793,0.056033181468052584,1673025.9283019237,225590.77015171896
545,18,1,97,74.79998779296875,6.324555320336759,10.644843204315617,2.0,6.0,4.855550765991211,0.5635490417480469,0.04528230428695679,0.06520160124058515,1287442.1656987395,189822.99134691933
546,19,8,74,90.3499984741211,8.602325267042627,30.09795502252551,5.0,7.0,3.126159191131592,2.9275217056274414,0.09601432085037233,0.11624763874381927,1700902.4631764712,233636.92156363442
547,19,7,78,88.94999694824219,1.0,14.719475726937064,1.0,0.0,13.712530466028054,13.718698972545099,0.04723556339740753,0.01282051282051282,1470597.8389145588,207973.94085895328
548,19,6,90,74.95001220703125,2.8284271247461903,11.58490354102486,2.0,2.0,1.8449416160583496,5.25023078918457,0.05569158121943474,0.03142696805273545,1145165.2570658582,176702.83542546208
549,19,3,72,94.9499969482422,4.0,17.411426016436447,4.0,0.0,3.806394100189209,3.9734494686126713,0.058420367538928986,0.05555555555555555,1652962.9257712334,224939.7628820838
