path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
110,1,47,72.8499755859375,0.0,0,0,0.0,13944181.105546767
110,0,76,118.5,1.0,-1,0,0.013157894736842105,17808059.92609735
111,8,62,95.04999542236328,2.23606797749979,-1,-2,0.03606561254031919,3608235.6092390562
111,7,58,91.05001831054688,1.4142135623730951,-1,-1,0.024382992454708537,3325883.492700468
111,6,69,97.95001220703124,1.0,0,-1,0.014492753623188406,9476814.416299114
111,5,48,73.95001220703125,3.1622776601683795,-1,3,0.06588078458684124,7645017.631964462
111,4,42,59.3499755859375,1.0,1,0,0.023809523809523808,1597184.7825420115
111,3,62,91.8499755859375,3.0,0,-3,0.04838709677419355,8762869.7788768
111,2,47,68.89996337890625,4.0,0,4,0.0851063829787234,6948739.904248309
111,1,45,69.34991455078125,1.0,0,-1,0.022222222222222223,1928765.8620585534
111,0,57,87.8499755859375,2.23606797749979,-2,-1,0.03922926276315421,63179910.58540604
112,9,46,68.55000305175781,2.0,-2,0,0.043478260869565216,6167020.230884658
112,8,40,59.14999389648438,2.0,2,0,0.05,14953640.887772113
112,6,45,69.05001831054689,2.23606797749979,-1,-2,0.049690399499995326,42722461.06180515
112,5,56,85.10000610351562,4.47213595499958,4,2,0.07985957062499249,6189315.790645387
112,4,48,68.89996337890625,0.0,0,0,0.0,4548475.336792332
112,3,40,58.34991455078125,2.0,-2,0,0.05,11306985.745022735
112,2,48,71.9000244140625,2.23606797749979,-1,-2,0.04658474953124562,13908545.429283736
112,1,52,78.75,4.123105625617661,1,4,0.07929049280033963,3538460.9594370117
112,0,44,69.20001220703125,2.23606797749979,-2,-1,0.05081972676135886,2283885.2572945207
113,9,42,64.64999389648439,4.47213595499958,4,2,0.10647942749999,50698719.67706121
113,8,61,94.85000610351562,2.0,0,-2,0.03278688524590164,31849759.68101802
113,7,58,89.79998779296875,4.47213595499958,-2,4,0.07710579232757896,51476620.75144299
113,6,58,90.25,0.0,0,0,0.0,24634841.870503727
113,3,53,83.89996337890625,3.1622776601683795,3,-1,0.059665616229592065,40432572.6068534
113,2,60,89.95001220703125,4.242640687119285,-3,-3,0.07071067811865475,5024593.321365486
113,1,45,69.0999755859375,5.656854249492381,4,4,0.1257078722109418,47384485.319214635
113,0,42,67.6500244140625,1.4142135623730951,-1,-1,0.033671751485073696,5058216.351731987
114,7,48,73.94999694824219,3.0,0,-3,0.0625,6633953.323671307
114,6,67,102.54998779296876,4.0,0,4,0.05970149253731343,41431774.17373882
114,4,47,69.04998779296875,0.0,0,0,0.0,18583133.151667554
114,3,75,119.14999389648438,2.8284271247461903,-2,-2,0.03771236166328254,24851171.566586554
114,2,79,125.85003662109376,2.8284271247461903,2,-2,0.03580287499678722,17967188.000863828
114,1,62,94.60009765625,3.1622776601683795,-1,3,0.05100447838981257,50936232.68777762
114,0,61,97.35003662109376,0.0,0,0,0.0,7113632.86684569
115,8,51,78.80000305175781,2.0,-2,0,0.0392156862745098,2665049.4595381767
115,7,50,79.94999694824219,1.0,0,-1,0.02,23579068.120589815
115,6,75,117.10000610351562,0.0,0,0,0.0,48675475.45260398
115,5,52,83.20001220703125,1.0,1,0,0.019230769230769232,19098226.002412878
115,4,63,89.300048828125,3.605551275463989,-2,-3,0.057230972626412524,9223363.220036987
115,2,65,96.35003662109376,2.8284271247461903,-2,-2,0.0435142634576337,4064202.622404929
115,1,42,64.79998779296875,3.0,0,3,0.07142857142857142,18087634.441277202
115,0,69,108.949951171875,3.1622776601683795,1,-3,0.04583011101693304,56332469.540282845
116,7,50,76.75,2.0,0,-2,0.04,21338284.05352295
116,6,75,118.3000030517578,2.0,0,2,0.02666666666666667,30791659.956394963
116,5,41,60.80001831054688,2.0,0,-2,0.04878048780487805,1756657.2183900422
116,4,54,83.0999755859375,2.0,0,2,0.037037037037037035,2566475.3249701457
116,3,58,88.19998168945312,2.8284271247461903,-2,-2,0.048765984909417075,2717593.9059144664
116,2,74,114.20001220703124,2.8284271247461903,-2,2,0.03822198817224581,3861710.618380858
116,1,78,124.95001220703124,3.605551275463989,3,-2,0.046225016352102424,4156528.827291961
116,0,68,108.60003662109376,5.0,-3,4,0.07352941176470588,65586864.866226785
