path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,teo_point_vel,Energy,energy_new,avg_energy
254,0,109,128.10000610351562,5.385164807134504,10.475412553470157,5.0,2.0,0.4632742404937744,0.351478636264801,0.04940518171683031,42663179.89635069,5343942.901128847,489878.4425669393
255,3,119,0.0,5.0,8.8532960255476,3.0,4.0,4.637388862355691,5.507190039807028,0.04201680672268908,1888079.3756051962,429169.3264127602,93652.42496379449
255,2,79,79.05000305175781,2.23606797749979,1.42395882030257,2.0,1.0,2.0409890057684663,3.9280683998695167,0.028304657943035313,14361406.470511688,2263458.3775916477,274484.64617645723
255,1,121,115.35000610351562,2.8284271247461903,3.733111694137684,2.0,2.0,0.9984938261864896,0.9204334016212671,0.023375430783026365,29889034.565724265,4115523.0887706704,411552.30887706706
255,0,131,175.10000610351562,8.602325267042627,7.955202995493197,5.0,7.0,2.0053062438964844,0.9393503442406654,0.06566660509192845,71225925.67880337,7917373.853867991,629872.4440987152
256,3,147,13.149999618530273,8.602325267042627,8.851208764393132,7.0,5.0,5.326042413711548,4.3952006325125685,0.058519219503691336,6520587.444868025,2353496.9198645744,513575.13252975384
256,2,124,123.4499969482422,1.4142135623730951,2.1232813093994123,1.0,1.0,2.0293264760947523,3.9333691879874095,0.011404948083653993,39997441.84061453,5465238.179996593,538505.9190891978
256,1,139,129.89999389648438,4.123105625617661,3.9838764370067974,1.0,4.0,1.8000043593897883,0.9341716352646472,0.029662630400127055,35037870.376145214,4580518.090914317,436735.2639049443
256,0,112,30.04998779296875,7.0710678118654755,4.965256467448894,1.0,7.0,1.5901139974594116,0.9838692545890808,0.06313453403451318,7638573.359060336,1294643.2232561347,218834.64569807262
257,5,133,137.14999389648438,4.242640687119285,11.252113532379267,3.0,3.0,0.3862602710723877,1.2981162667274475,0.03189955403849086,43885622.318095945,5297358.47936457,487661.3758011483
257,4,95,19.05000305175781,7.615773105863909,6.067344770100316,3.0,7.0,6.849199295043945,3.5895898938179016,0.0801660326933043,2662647.613855126,599565.6735682716,127827.83110698959
257,3,120,116.5,7.280109889280518,11.68098565720709,2.0,7.0,0.8533303737640381,0.8360996246337891,0.06066758241067098,29062397.86868521,3730272.5456506195,382717.8879215116
257,2,109,105.9499969482422,3.605551275463989,5.2958321299112,3.0,2.0,5.572595417499542,3.1709066087496467,0.03307845206847696,22250829.445431206,3321022.3484272268,354022.1718588382
257,1,131,129.44998168945312,2.23606797749979,11.169196799014328,2.0,1.0,3.218517005443573,1.971607327461243,0.017069221202288473,33361273.960571095,4497497.267574843,436835.55119858705
257,0,67,85.6500244140625,7.615773105863909,12.950732296229651,7.0,3.0,2.690273359417916,6.8825788497924805,0.11366825531140162,33991060.38160936,3885027.6496844506,442739.99051967234
258,5,112,0.0,4.242640687119285,8.471339102953046,3.0,3.0,3.614387020468712,7.811589479446411,0.0378807204207079,1066896.5652518612,258192.65314799716,59233.457001935174
258,4,104,107.0999984741211,4.47213595499958,4.507458045611135,2.0,4.0,2.9491294181275123,3.0402990379770927,0.04300130725961134,21446738.44539496,3144260.356416061,343066.9306648911
258,3,128,125.9499969482422,11.313708498984761,16.15906014395819,8.0,8.0,2.0956605231690157,3.842477699236042,0.08838834764831845,41365724.41736228,4877397.641167169,485319.20444038085
258,2,62,2.1999969482421875,10.0,6.864364251568144,6.0,8.0,7.900406837463379,7.5760648250579825,0.16129032258064516,402492.77493436856,142339.2631203123,50324.52909073455
258,1,129,128.05000305175778,7.211102550927978,15.567947673442953,4.0,6.0,0.2817883491516113,0.3247840404510498,0.05590001977463549,29758944.485407997,3967940.9199878527,398793.06733022205
