path_num,points,times,Energy,total_dist,Total_time,avg_path_vel
112,"-5,1,1;4,3,1;-5,-5,1;-3,-4,1;0,3,1;2,4,1;-2,5,1","114,55,76,85,112,100,97",1254312550.7544348,42.57117323615912,639,0.06662155436018641
113,"-2,5,1;0,-5,1;-2,2,1;0,-2,1;1,1,1;-3,3,1;-1,5,1;1,5,1","65,88,97,107,99,66,67,85",2891615713.129938,39.79829041851432,674,0.059047908632810564
114,"1,5,1;2,-5,1;4,-4,1;-5,1,1;3,-1,1;-3,0,1;-2,0,1","75,119,92,72,83,91,79",14347295239.69854,43.009567034734005,611,0.07039209007321441
115,"-2,0,1;1,0,1;2,-1,1;-4,0,1;-1,-2,1;-1,0,1;0,2,1;1,2,1;-2,4,1;0,-5,1","70,54,66,65,58,82,74,56,110,63",3088240558.833089,34.16369107839196,698,0.048945116158154674
116,"0,-5,1;0,3,1;2,-3,1;4,-1,1;4,0,1;-5,1,1;-3,-3,1;0,0,1","83,89,68,94,73,104,117,69",489535556.7728121,40.92314422533923,697,0.058713262877100755
117,"0,0,1;2,1,1;4,3,1;5,-4,1;-5,-3,1;-2,2,1;0,3,1;0,5,1","119,73,84,57,97,95,60,72",8065942794.249224,32.252458407577436,657,0.049090499859326384
118,"0,5,1;1,-5,1;3,-2,1;-5,1,1;-2,-2,1;0,0,1;1,-1,1;2,0,1","89,61,61,54,117,88,92,57",6905673064.8184,37.09892557851407,619,0.05993364390713097
119,"2,0,1;-3,2,1;1,-3,1;-2,0,1;-1,2,1;1,-4,1;2,-2,1","110,88,57,64,117,98,69",154191290.2590542,28.827621007022977,603,0.04780700001164673
120,"2,-2,1;4,0,1;4,0,1;-5,0,1;4,0,1;4,0,1;-5,0,1","88,114,64,51,66,119,111",4208182396.2855463,32.65685424949238,613,0.05327382422429426
121,"-5,0,1;-3,0,1;2,-1,1;4,0,1;4,-2,1;-5,0,1;-2,0,1;0,-1,1","102,88,104,80,58,74,81,85",1580802622.2561965,30.79069992588525,672,0.04581949393732924
122,"0,-1,1;-1,0,1;1,1,1;2,-3,1;4,0,1;-5,-1,1;3,1,1","115,87,91,67,94,112,62",4153532676.1374063,29.680534830327275,628,0.04726199813746381
123,"3,1,1;-3,1,1;-2,3,1;0,-3,1;0,2,1;0,-3,1;0,0,1","93,63,119,79,103,106,87",686310895.8414819,30.722900958004928,650,0.047266001473853736
124,"0,0,1;0,-1,1;-2,1,1;0,2,1;1,3,1;1,5,1;-3,5,1","85,64,114,54,112,57,114",1436924256.2498024,13.478708664619074,600,0.02246451444103179
125,"-3,5,1;-2,5,1;1,5,1;-3,5,1;1,5,1;-1,5,1;-1,5,1;0,5,1","71,84,80,92,88,68,90,86",1057410165.8364747,20.8309518948453,659,0.03160994217730698
126,"0,5,1;2,-5,1;4,3,1;-4,-5,1;-1,3,1;1,5,1;-1,5,1;1,-5,1","83,100,79,61,98,119,83,61",6732293156.144844,58.328428674654944,684,0.08527548051850138
127,"1,-5,1;-2,-2,1;0,0,1;0,2,1;2,4,1;-3,-5,1;2,-3,1","91,79,113,116,75,96,66",3701250760.7023582,32.679309398325955,636,0.05138256194705339
128,"2,-3,1;-2,-2,1;-1,0,1;0,0,1;0,1,1;-2,-1,1;-1,-1,1;0,0,1","105,76,61,63,78,64,94,88",759550865.9493293,17.207365565700723,629,0.027356702012242804
129,"0,0,1;0,-1,1;0,0,1;0,-1,1;1,0,1;2,-1,1;-3,-1,1;0,0,1;1,-2,1","103,80,66,67,98,51,65,59,96",1866894265.8098967,16.22677276241436,685,0.023688719361188847
130,"1,-2,1;1,1,1;-1,-2,1;0,-1,1;2,0,1;4,-2,1;-5,-1,1;-4,0,1;-2,0,1","93,53,56,105,98,93,63,66,61",3556173469.5827703,27.789926618093368,688,0.040392335200717104
131,"-2,0,1;0,0,1;1,0,1;2,-2,1;3,0,1;-4,0,1;1,-1,1;-1,0,1","91,61,88,97,67,93,86,99",5959464322.764603,23.807223446092156,682,0.0349079522669973
132,"-1,0,1;0,-2,1;2,0,1;-4,-1,1;-2,-1,1;0,0,1;2,2,1;2,-2,1","83,78,70,105,60,117,89,78",2502690104.1453276,23.21175273479018,680,0.034134930492338504
133,"2,-2,1;-2,1,1;1,1,1;1,1,1;-1,-3,1;-1,1,1;0,2,1","78,95,103,66,115,97,98",571840711.7506855,20.714776642118867,652,0.031771129819200716
134,"0,2,1;0,3,1;0,3,1;2,-4,1;4,-2,1;5,-1,1;5,0,1;-5,2,1","105,59,113,69,119,88,63,57",6197766049.204295,25.720789603585374,673,0.03821811233816549
135,"-5,2,1;-4,-4,1;-2,-1,1;0,-1,1;0,0,1;-2,2,1;1,-2,1","84,57,76,115,108,114,75",1033831812.1625354,25.901905737642906,629,0.04117950037781066
136,"1,-2,1;3,0,1;4,0,1;5,-1,1;5,-1,1;5,1,1;-5,-2,1;3,0,1","54,109,87,66,55,79,82,69",2229991375.728434,28.165226424764946,601,0.04686393747881023
137,"3,0,1;4,-1,1;-5,0,1;-2,0,1;-1,-1,1;-1,0,1;0,1,1;1,1,1","82,50,90,84,114,56,89,81",1072646317.4234997,21.298025825256705,646,0.03296908022485558
138,"1,1,1;-2,2,1;0,4,1;0,-5,1;-2,4,1;0,-5,1;-2,-2,1","110,53,110,73,106,114,102",1524303187.930012,38.44955853733743,668,0.057559219367271604
139,"-2,-2,1;0,0,1;2,0,1;-2,1,1;1,1,1;3,-1,1;-3,0,1;1,0,1","62,112,76,53,88,73,112,105",2562492280.8548965,27.69114953015445,681,0.04066248095470551
140,"1,0,1;3,2,1;-3,-2,1;2,0,1;3,1,1;-3,1,1;-1,-1,1;1,1,1","97,50,72,72,72,87,50,102",3124461242.3988175,29.49576229467415,602,0.04899628288151852
141,"1,1,1;3,2,1;-3,-3,1;0,-1,1;-1,1,1;0,3,1;-1,-3,1","84,62,69,101,92,109,107",1614180441.7652414,25.62098097654133,624,0.0410592643854829
142,"-1,-3,1;-1,1,1;0,-3,1;1,0,1;-3,-1,1;0,0,1;-1,0,1","102,101,114,85,104,61,52",1803677788.2566416,22.733044231740458,619,0.03672543494626891
