path_num,point_num,point_coords,teo_point_time,sim_drone_time,teo_point_dist,teo_point_vel,Energy
339,4,"[2, -1, 1]",89,49.79998779296875,2.23606797749979,0.025124359297750448,183384513.03209233
339,5,"[3, 0, 1]",75,88.94999694824219,1.4142135623730951,0.01885618083164127,505813621.10492516
340,0,"[2, 0, 1]",92,56.050048828125,2.0,0.021739130434782608,505648893.813701
340,1,"[2, -1, 1]",103,95.35000610351562,1.0,0.009708737864077669,110441447.26962915
340,2,"[4, -1, 1]",117,102.75,2.0,0.017094017094017096,143444977.37800807
340,3,"[-5, 0, 1]",104,102.5999755859375,9.055385138137417,0.08707101094362901,675537520.8784193
340,4,"[-3, 0, 1]",108,111.9499969482422,2.0,0.018518518518518517,97391909.23960222
341,0,"[-2, 0, 1]",118,108.04995727539062,2.0,0.01694915254237288,168096046.83229885
341,1,"[0, 0, 1]",104,72.8499755859375,2.0,0.019230769230769232,121097259.20865953
341,2,"[1, 1, 1]",53,68.10000610351561,1.4142135623730951,0.026683274761756512,22820417.895540267
341,3,"[-1, -2, 1]",82,63.44999694824219,3.605551275463989,0.0439701375056584,31419587.6424624
341,4,"[0, 0, 1]",67,79.69999694824219,2.23606797749979,0.03337414891790731,97036978.82537141
342,0,"[-3, 5, 1]",67,100.05001831054688,5.830951894845301,0.08702913275888509,82201071.83788711
342,1,"[0, -5, 1]",68,116.300048828125,10.44030650891055,0.15353391924868456,377685547.0821618
342,2,"[1, -3, 1]",63,59.25,2.23606797749979,0.03549314249999666,423496457.0570075
342,3,"[3, 1, 1]",58,93.0999984741211,4.47213595499958,0.07710579232757896,681263524.0195595
342,4,"[-5, 2, 1]",95,56.29999542236328,8.06225774829855,0.08486587103472157,54746950.02473471
343,0,"[-2, 1, 1]",64,61.0,2.23606797749979,0.034938562148434216,24805915.682504375
343,1,"[0, -2, 1]",66,116.89999389648438,3.605551275463989,0.05462956477975741,111421938.01647249
343,2,"[1, 1, 1]",115,52.90000915527344,3.1622776601683795,0.027498066610159824,63215713.279790275
343,3,"[-1, -1, 1]",63,51.89999389648438,2.8284271247461903,0.044895668646764926,34533668.49278198
343,5,"[0, 1, 1]",54,60.94999694824219,2.23606797749979,0.04140866624999611,85973569.96511999
344,0,"[-1, -1, 1]",119,98.10000610351562,1.4142135623730951,0.011884147582967186,118276995.93734963
344,1,"[0, -1, 1]",115,68.60000610351561,1.0,0.008695652173913044,37997088.23335767
344,2,"[0, 1, 1]",79,108.75003051757812,2.0,0.02531645569620253,49888359.68467491
344,3,"[-1, -3, 1]",76,74.79998779296875,4.123105625617661,0.05425138981075869,23814282.033232905
344,4,"[0, 2, 1]",111,75.0,5.0990195135927845,0.04593711273507013,26742123.28457501
345,0,"[0, 5, 1]",109,110.04998779296876,5.0,0.045871559633027525,487312700.64647627
345,1,"[0, 5, 1]",108,94.1999969482422,0.0,0.0,35236083.01846943
345,2,"[1, 5, 1]",59,78.5,1.0,0.01694915254237288,40298737.3449009
346,0,"[-3, -5, 1]",94,94.04998779296876,5.830951894845301,0.06203140313665213,44568955.28651838
346,1,"[1, 3, 1]",110,85.4000244140625,8.94427190999916,0.08131156281817417,30132771.273612607
346,2,"[3, -5, 1]",58,83.89996337890625,8.246211251235321,0.1421760560557814,153359767.44299817
346,3,"[-3, 4, 1]",78,54.94999694824219,10.816653826391969,0.1386750490563073,265772379.88217822
