path_num,points,times,Energy
14,"-2,0,1;1,1,1;2,2,1;-4,-2,1;3,1,1;4,-2,1;-5,0,1;2,1,1;3,2,1;-4,-4,1;-2,-3,1","65,71,66,45,48,74,51,71,77,57,58",13434311
15,"-2,-3,1;0,0,1;1,-2,1;1,0,1;-2,0,1;0,0,1;2,0,1;-2,1,1;0,1,1;2,-3,1;-4,-2,1","50,59,43,79,52,58,58,73,71,47,62",2514482
16,"-4,-2,1;3,1,1;-5,-2,1;-3,0,1;-2,0,1;-1,-2,1;0,0,1;-2,-2,1;0,1,1;1,2,1;-1,-3,1","51,45,47,48,46,63,61,65,76,76,74",1920130
17,"-1,-3,1;0,-1,1;0,0,1;-2,-2,1;0,0,1;1,1,1;1,1,1;2,1,1;3,2,1;-4,2,1;3,-2,1","79,76,42,52,43,73,44,45,74,55,73",2993291
18,"3,-2,1;-3,1,1;0,2,1;-1,-3,1;1,-1,1;-2,-1,1;0,0,1;2,2,1;-2,3,1;0,-5,1;-2,-3,1","64,55,50,51,77,43,78,56,76,48,77",0
19,"-2,-3,1;0,-1,1;0,0,1;0,0,1;2,-2,1;3,0,1;-3,-1,1;0,0,1;-2,-2,1;0,-1,1;0,0,1","76,55,45,62,64,40,73,44,58,67,75",5779705
20,"0,0,1;0,1,1;-1,-3,1;0,0,1;2,-2,1;3,-1,1;4,0,1;5,-2,1;5,1,1;-5,-3,1;2,1,1","43,44,77,76,64,78,42,72,59,42,76",2340771
21,"2,1,1;2,-1,1;4,-1,1;-5,0,1;3,0,1;-5,-2,1;4,-1,1;5,-1,1;5,1,1;5,3,1;-5,4,1","58,48,72,63,55,64,51,56,70,66,78",77235907
22,"-5,4,1;-3,-5,1;-1,4,1;0,-4,1;0,-2,1;0,0,1;-1,2,1;0,-4,1;0,1,1;1,1,1;-2,3,1;0,4,1","56,49,58,43,60,52,56,48,40,77,60,78",203521108
23,"0,4,1;0,5,1;1,5,1;-3,5,1;0,5,1;-1,5,1;1,5,1;3,-5,1;-3,-3,1;0,0,1","61,60,52,62,58,62,62,63,77,74",19029322
24,"0,0,1;2,-2,1;4,0,1;-5,-1,1;-4,0,1;-2,0,1;0,2,1;0,3,1;1,4,1;1,-5,1;-2,-4,1","64,67,52,76,51,58,62,70,41,73,66",8550476
25,"-2,-4,1;1,-1,1;2,0,1;-3,2,1;-2,-2,1;0,-1,1;-1,0,1;0,-2,1;-2,0,1;0,0,1;2,0,1","45,54,65,73,40,54,71,73,74,56,54",5631512
26,"2,0,1;2,2,1;3,2,1;3,2,1;-3,3,1;1,-5,1;1,-3,1;-2,-2,1;0,-1,1;1,0,1;1,2,1","53,60,78,77,43,79,61,76,44,54,46",5847857
27,"1,2,1;-2,4,1;0,-4,1;1,-3,1;3,-1,1;-4,0,1;3,-1,1;5,0,1;-5,0,1;-4,0,1;3,-2,1","47,55,63,42,67,73,67,53,66,58,61",15278256
28,"3,-2,1;-4,0,1;-3,-1,1;-2,1,1;1,-1,1;1,0,1;-1,1,1;0,-1,1;0,0,1;0,0,1;0,-2,1;2,0,1","53,45,65,71,42,46,69,48,44,52,78,42",4907004
29,"2,0,1;3,1,1;3,-3,1;3,1,1;3,-3,1;-4,0,1;-2,2,1;0,-2,1;2,0,1;-3,1,1;-2,2,1","42,74,43,73,53,64,47,70,64,61,56",6035119
30,"-2,2,1;0,2,1;-1,2,1;0,-4,1;2,-1,1;2,-1,1;-4,0,1;-1,0,1;1,0,1;-3,0,1;2,1,1;4,-1,1","56,77,54,46,41,40,63,76,65,55,42,72",78498244
31,"4,-1,1;-5,0,1;-4,-1,1;-1,1,1;0,-3,1;0,-1,1;-1,0,1;0,-1,1;1,0,1;-1,2,1;1,2,1","56,48,52,42,71,65,58,61,53,76,77",0
32,"1,2,1;1,3,1;2,-4,1;-2,2,1;-1,-3,1;0,0,1;0,0,1;-2,2,1;0,-4,1;0,-3,1","72,72,67,45,72,77,66,71,46,41",2643488
33,"0,-3,1;0,0,1;0,0,1;2,1,1;3,1,1;-4,-1,1;-2,-1,1;0,1,1;1,-3,1;1,-1,1;-3,1,1;-2,3,1;0,3,1","70,56,44,51,50,55,68,66,42,62,40,40,42",0
34,"0,3,1;-1,3,1;-1,4,1;-1,5,1;0,5,1;-2,-5,1;1,4,1;3,4,1;-3,5,1;0,5,1;2,5,1","79,45,46,60,71,46,71,55,73,56,68",13004610
35,"2,5,1;-2,-5,1;0,2,1;-1,-2,1;0,1,1;1,3,1;3,5,1;-5,-5,1;2,-3,1;-2,0,1;-1,2,1","66,61,78,68,49,52,45,58,61,54,70",74017986
36,"-1,2,1;-1,2,1;0,-2,1;-2,0,1;0,-2,1;2,0,1;-2,-2,1;1,0,1;2,-2,1;2,0,1","75,62,46,78,73,79,69,74,56,77",5764712
37,"2,0,1;4,2,1;-5,2,1;3,-3,1;3,0,1;-3,2,1;2,-4,1;2,-2,1;-3,0,1;1,2,1","70,64,67,73,52,79,60,54,71,76",22077
38,"1,2,1;3,-3,1;3,2,1;-5,2,1;-3,3,1;1,-4,1;-3,1,1;-1,-3,1;0,2,1;1,2,1;1,3,1;-3,5,1","43,50,50,56,46,45,76,67,53,78,79,44",136516571
39,"-3,5,1;-1,-5,1;0,-4,1;0,1,1;0,-3,1;-1,-1,1;0,0,1;-2,-2,1;0,0,1;-1,0,1","72,62,68,53,75,62,67,75,78,68",18821
40,"-1,0,1;0,0,1;-2,-2,1;0,-1,1;2,0,1;4,2,1;4,-4,1;-4,-1,1;-3,0,1;-2,0,1","48,43,78,79,79,71,47,76,42,77",14632656
41,"-2,0,1;0,-1,1;0,0,1;1,-2,1;-2,0,1;0,0,1;-2,0,1;0,2,1;-1,2,1;0,2,1;-1,3,1","79,56,76,40,64,60,58,70,43,60,60",1698732
