In Route: 487.0 In point: 7.0 SimTime: -497.2 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -496.1 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -495.05 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -493.95 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -492.85 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -491.75 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -490.65 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -489.6 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -488.55 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -487.5 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -486.35 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -485.3 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -484.2 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -483.15 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -482.05 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -480.95 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -479.9 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -478.7 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -477.6 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -476.55 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -475.5 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -474.35 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -473.3 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -472.25 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -471.15 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -470.1 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -469.0 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.25 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 6.0 SimTime: -496.2 TargetRHO: 5.8135 |DRONE out of control and lost the target 
In Route: 488.0 In point: 5.0 SimTime: -6.7 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -5.65 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -4.6 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -3.45 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -2.35 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -1.25 TankMass: 10.001 |Negative Simtime 
In Route: 488.0 In point: 5.0 SimTime: -0.1 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 5.0 SimTime: -425.45 TargetRHO: 3.0367 |DRONE out of control and lost the target 
In Route: 489.0 In point: 4.0 SimTime: -6.35 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 4.0 SimTime: -5.2 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 4.0 SimTime: -4.2 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 4.0 SimTime: -2.85 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 4.0 SimTime: -1.7 TankMass: 10.001 |Negative Simtime 
In Route: 489.0 In point: 4.0 SimTime: -0.6 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -441.3 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -440.1 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -439.0 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -437.75 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -436.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -435.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -434.2 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -433.0 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -431.85 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -430.65 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -429.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -428.35 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -427.2 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -425.95 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -424.8 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -423.65 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -422.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -421.3 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -420.1 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -418.95 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -417.75 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -416.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -415.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -414.25 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -413.05 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -411.95 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -410.8 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -409.6 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -408.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -407.25 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -406.05 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -404.85 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -403.65 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -402.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -401.3 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -400.1 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -398.9 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -397.7 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -396.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -395.3 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -394.1 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -393.0 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -391.8 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -390.65 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -389.55 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -388.3 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -387.15 TankMass: 10.001 |Negative Simtime 
In Route: 490.0 In point: 7.0 SimTime: -386.0 TankMass: 10.001 |Negative Simtime 
