route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel 
1.0|4.0|13.050000190734863|9.57495703125|[430.0505065917969, -187.27513122558594, -241.9773712158203, 375.4131164550781]|[-0.860101044178009, -0.3745502531528473, 0.4839547276496887, 0.7508262395858765]|[11267.514763638042, 7435.4705703670925, 8451.927852590616, 10527.448489763636]|-0.017799943685531616|0.046084215864539146|0.05970422551035881|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|14.050000190734863|9.546884765625|[431.6550598144531, -189.00839233398438, -243.69024658203125, 377.0441589355469]|[-0.8633101582527161, -0.37801676988601685, 0.4873805046081543, 0.7540883421897888]|[11288.51519774701, 7469.799554283827, 8481.789259893489, 10550.292797965483]|-0.01766490936279297|0.0459491815418005|0.06063520908355713|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|15.050000190734863|9.518853515625|[414.1210632324219, -171.5929718017578, -226.26568603515625, 359.5246887207031]|[-0.8282421231269836, -0.3431859314441681, 0.4525313675403595, 0.719049334526062]|[11056.866454237825, 7117.347195187384, 8172.929493486459, 10302.266106321196]|-0.020450562238693237|0.04873483441770077|0.06095093861222267|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|16.049999237060547|9.4908642578125|[388.6586608886719, -146.25112915039062, -200.92233276367188, 334.0675354003906]|[-0.7773172855377197, -0.2925022840499878, 0.40184465050697327, 0.6681350469589233]|[10711.556403570756, 6570.79651140694, 7701.627506372567, 9930.82983995715]|-0.019189387559890747|0.04747365973889828|0.060784079134464264|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|17.049999237060547|9.4629150390625|[365.2393798828125, -122.9747314453125, -177.63461303710938, 310.6610107421875]|[-0.7304787635803223, -0.24594946205615997, 0.3552692234516144, 0.6213220357894897]|[10383.821224063813, 6025.267675198479, 7241.561129495872, 9576.609514218257]|-0.021580606698989868|0.0498648788779974|0.060376036912202835|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|18.049999237060547|9.4350078125|[350.03466796875, -107.93961334228516, -162.57154846191406, 295.4841613769531]|[-0.7000693678855896, -0.21587923169136047, 0.32514309883117676, 0.5909683108329773]|[10165.387393043917, 5644.9335377993675, 6927.72556424224, 9339.7555019908]|-0.020601332187652588|0.04888560436666012|0.059959474951028824|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|19.049999237060547|9.4071416015625|[344.7893981933594, -102.87981414794922, -157.47293090820312, 290.27667236328125]|[-0.6895788311958313, -0.20575962960720062, 0.31494584679603577, 0.5805533528327942]|[10088.935735892355, 5511.039064712178, 6818.2254803321675, 9257.089697925501]|-0.02040848135948181|0.04869275353848934|0.0596834160387516|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|20.049999237060547|9.37931640625|[347.7325744628906, -106.01849365234375, -160.5642852783203, 293.26605224609375]|[-0.6954651474952698, -0.21203698217868805, 0.32112857699394226, 0.5865321159362793]|[10131.90460079061, 5594.47346964302, 6884.82457966516, 9304.634123975437]|-0.019131839275360107|0.04741611145436764|0.05960628390312195|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|21.049999237060547|9.3515322265625|[355.2273254394531, -113.70433807373047, -168.20310974121094, 300.8071594238281]|[-0.7104546427726746, -0.22740867733955383, 0.33640623092651367, 0.6016143560409546]|[10240.510023162113, 5793.712241677882, 7046.69402514957, 9423.505498015607]|-0.020857274532318115|0.049141546711325645|0.05970362201333046|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|22.049999237060547|9.3237890625|[363.45928955078125, -122.1231918334961, -176.57595825195312, 309.085205078125]|[-0.7269185781478882, -0.24424637854099274, 0.35315191745758057, 0.618170440196991]|[10358.486173037378, 6004.370426998572, 7219.94999845282, 9552.290303683892]|-0.019706547260284424|0.047990819439291954|0.05990757793188095|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|23.049999237060547|9.296087890625|[369.6216735839844, -128.46458435058594, -182.8760986328125, 315.2895812988281]|[-0.7392433881759644, -0.2569291591644287, 0.3657521903514862, 0.6305791735649109]|[10445.93017615562, 6158.2896542868375, 7347.623222339118, 9647.68719287544]|-0.018689364194869995|0.046973636373877525|0.06013665348291397|6.838120558683158e-08|1.2992381925869267e-06|0|0
