route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|9.0|56.29998779296875|5.780908203125|[1.7069858312606812, 167.2887420654297, 167.08480834960938, 2.1849498748779297]|[-0.003413971746340394, 0.3345775008201599, -0.3341695964336395, 0.00436989963054657]|[709.8774198707704, 7027.514683930655, 7023.229923935683, 803.1360921467548]|0.016138792037963867|0.000838717445731163|0.03172127529978752
79.0|8.0|0.850006103515625|5.7373330078125|[220.46925354003906, -51.42899703979492, -51.88871765136719, 220.69407653808594]|[-0.4409385025501251, -0.10285799950361252, 0.1037774384021759, 0.4413881301879883]|[8067.564009018181, 3896.4798206341793, 3913.8562708766153, 8071.676400510479]|0.016981124877929688|0.18563522398471832|0.021428901702165604
79.0|8.0|3.6500091552734375|5.67227978515625|[2663.62451171875, -2482.758544921875, -2478.925048828125, 2668.365234375]|[-5.327249050140381, -4.965517044067383, 4.957849979400635, 5.336730480194092]|[28041.73658628855, 27072.954080116342, 27052.045047952583, 28066.67985383582]|-0.07215547561645508|0.2747718244791031|0.4261649250984192
79.0|8.0|6.6500091552734375|5.60759716796875|[380.2382507324219, -174.97286987304688, -173.2738037109375, 383.1407470703125]|[-0.7604764699935913, -0.3499457538127899, 0.34654760360717773, 0.7662814855575562]|[10594.886428449741, 7187.101223820146, 7152.121087246974, 10635.246856884536]|-0.19821882247924805|0.40083517134189606|0.4466173052787781
79.0|8.0|9.650009155273438|5.54328564453125|[-82.50529479980469, 287.3338623046875, 288.70684814453125, -79.87295532226562]|[0.16501058638095856, 0.574667751789093, -0.5774137377738953, -0.15974591672420502]|[4935.251784337927, 9210.046212123088, 9232.024465917435, 4855.883746663572]|-0.22842741012573242|0.43104375898838043|0.370910108089447
79.0|8.0|12.600006103515625|5.47934521484375|[-56.189666748046875, 256.2425231933594, 257.64935302734375, -53.574554443359375]|[0.11237932741641998, 0.5124850273132324, -0.5152987241744995, -0.10714910924434662]|[4072.833274591886, 8697.491341254561, 8721.334264818028, 3976.92762944905]|-0.2048940658569336|0.4075104147195816|0.3376821279525757
79.0|8.0|15.400009155273438|5.415775390625|[53.63331604003906, 142.89524841308594, 144.1313018798828, 55.95792007446289]|[-0.1072666272521019, 0.28579050302505493, -0.28826260566711426, 0.11191583424806595]|[3979.1080169095285, 6494.972220160023, 6523.0027065823515, 4064.4256718982506]|-0.19191443920135498|0.394530788064003|0.3740430176258087
79.0|8.0|18.20001220703125|5.35257666015625|[82.43592071533203, 115.4706039428711, 113.899658203125, 81.51801300048828]|[-0.16487184166908264, 0.23094120621681213, -0.22779931128025055, 0.1630360186100006]|[4933.176459493439, 5838.538154540027, 5798.686295816295, 4905.634603242557]|-0.19520241022109985|0.39781875908374786|0.4320249855518341
79.0|8.0|20.95001220703125|5.310650390625|[76.59123992919922, 117.3622055053711, 118.79727172851562, 79.19740295410156]|[-0.1531824916601181, 0.23472441732883453, -0.23759454488754272, 0.15839481353759766]|[4755.081381875079, 5886.166397920867, 5922.044103701121, 4835.305006840797]|-0.20339235663414001|0.406008705496788|0.30471915006637573
79.0|8.0|23.650009155273438|5.24806982421875|[82.34293365478516, 110.89041137695312, 112.3589096069336, 84.93134307861328]|[-0.16468586027622223, 0.22178082168102264, -0.22471782565116882, 0.16986268758773804]|[4930.393382615516, 5721.572445907614, 5759.332630539133, 5007.286027218852]|-0.19218389689922333|0.39480024576187134|0.39337021112442017
