route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|9.0|10.199996948242188|6.828630859375|[-99.7601318359375, 273.8273010253906, 273.7409973144531, -99.14640045166016]|[0.1995202600955963, 0.5476546287536621, -0.5474819540977478, -0.1982928067445755]|[5426.838672593395, 8990.974727201376, 8989.557747172114, 5410.119771356546]|0.017800569534301758|-0.0008230600506067276|0.04020708426833153
79.0|9.0|12.699996948242188|6.7812646484375|[207.69911193847656, -33.45414352416992, -33.93537521362305, 207.9230499267578]|[-0.4153982102870941, -0.06690829247236252, 0.06787075102329254, 0.4158460795879364]|[7830.432024055233, 3142.630794929938, 3165.153171489858, 7834.652212518057]|0.018300294876098633|-0.0013227853924036026|0.026359153911471367
79.0|9.0|15.149993896484375|6.71052392578125|[-29.55379867553711, 202.61419677734375, 202.89312744140625, -28.5784912109375]|[0.059107597917318344, 0.4052283763885498, -0.4057862460613251, -0.05715698376297951]|[2953.759009077451, 7733.985261645617, 7739.30696106714, 2904.611498897103]|0.016443967819213867|0.000533541664481163|0.033851608633995056
79.0|9.0|17.75|6.6635693359375|[163.1082305908203, 10.539458274841309, 10.004348754882812, 163.2752685546875]|[-0.326216459274292, 0.021078916266560555, -0.020008696243166924, 0.32655051350593567]|[6939.151066226528, 1763.9145735797447, 1718.5525457362555, 6942.703324306368]|0.016443967819213867|0.000533541664481163|0.02480548992753029
79.0|9.0|20.25|6.59344677734375|[-31.685903549194336, 204.6030731201172, 204.4624481201172, -31.12995147705078]|[0.06337180733680725, 0.4092061519622803, -0.4089248776435852, -0.06225990504026413]|[3058.4504715787198, 7771.8512580327715, 7769.179977432746, 3031.5003720057016]|0.016923904418945312|5.360506474971771e-05|0.03382713720202446
79.0|9.0|22.75|6.54690478515625|[178.75927734375, -5.691719055175781, -6.1948161125183105, 178.95639038085938]|[-0.3575185537338257, -0.011383438482880592, 0.012389632873237133, 0.3579127788543701]|[7264.449334452528, 1296.2540655649486, 1352.3297855405065, 7268.453387209226]|0.017263412475585938|-0.0002859029918909073|0.02460744045674801
79.0|9.0|25.29998779296875|6.477400390625|[7.378111839294434, 165.05343627929688, 164.8310089111328, 7.850967884063721]|[-0.014756223186850548, 0.33010685443878174, -0.329662024974823, 0.015701936557888985]|[1475.8459268822446, 6980.406097441857, 6975.701085446631, 1522.40430861187]|0.01796412467956543|-0.0009866151958703995|0.03186323493719101
79.0|9.0|27.75|6.43127001953125|[174.36691284179688, -1.8804552555084229, -2.379822015762329, 174.5653533935547]|[-0.3487338423728943, -0.0037609103601425886, 0.004759644158184528, 0.34913069009780884]|[7174.645431003035, 745.0748534150033, 838.1864637366307, 7178.72686975902]|0.016956090927124023|2.1418556571006775e-05|0.024181561544537544
79.0|9.0|30.25|6.36238427734375|[-21.031766891479492, 192.77432250976562, 192.67227172851562, -20.441606521606445]|[0.042063530534505844, 0.3855486512184143, -0.385344535112381, -0.04088321328163147]|[2491.7604240989413, 7543.849172033682, 7541.852128015956, 2456.5517426579827]|0.01695990562438965|1.7603859305381775e-05|0.03282506391406059
79.0|9.0|32.75|6.316666015625|[173.8461456298828, -1.9239976406097412, -2.418708562850952, 174.04701232910156]|[-0.3476923108100891, -0.0038479953072965145, 0.004837417509406805, 0.34809404611587524]|[7163.923459873912, 753.6516799454918, 845.006743978225, 7168.060963843899]|0.017008304595947266|-3.079511225223541e-05|0.024189190939068794
79.0|9.0|35.34999084472656|6.24839794921875|[23.081920623779297, 148.30935668945312, 148.00527954101562, 23.469482421875]|[-0.04616384208202362, 0.2966187298297882, -0.2960105538368225, 0.04693896323442459]|[2610.3838603021454, 6616.871177630104, 6610.084445697971, 2632.207729182025]|0.017855167388916016|-0.0008776579052209854|0.03096660040318966
79.0|9.0|37.94999694824219|6.20309228515625|[239.48773193359375, -68.18696594238281, -68.6253662109375, 239.7429656982422]|[-0.47897547483444214, -0.13637393712997437, 0.13725072145462036, 0.4794859290122986]|[8408.335643482074, 4486.6179260885665, 4501.01791481374, 8412.815037164082]|0.01614522933959961|0.0008322801440954208|0.021507272496819496
79.0|9.0|40.5|6.1354423828125|[81.31294250488281, 89.6713638305664, 89.22502899169922, 81.55753326416016]|[-0.16262587904930115, 0.17934271693229675, -0.1784500628709793, 0.16311506927013397]|[4899.460296699737, 5145.11743203137, 5132.296672946719, 4906.823594939466]|0.016132831573486328|0.0008446779102087021|0.028377607464790344
79.0|9.0|43.09999084472656|6.06816357421875|[-83.2207260131836, 252.9136962890625, 253.4128875732422, -82.0384292602539]|[0.16644145548343658, 0.5058274269104004, -0.5068257451057434, -0.16407684981822968]|[4956.603213524719, 8640.812441269054, 8649.335688537767, 4921.268634839785]|0.01698613166809082|-8.6221843957901e-06|0.03511530160903931
79.0|9.0|45.69999694824219|6.02351708984375|[155.08277893066406, 15.396026611328125, 14.905898094177246, 155.2823944091797]|[-0.31016555428504944, 0.030792053788900375, -0.02981179766356945, 0.310564786195755]|[6766.283514922774, 2131.9289672326454, 2097.7198021513395, 6770.6367402939395]|0.016985177993774414|-7.66851007938385e-06|0.02489607036113739
79.0|9.0|48.29998779296875|5.9568564453125|[22.127601623535156, 147.82647705078125, 147.52883911132812, 22.515974044799805]|[-0.044255200773477554, 0.29565295577049255, -0.29505765438079834, 0.045031946152448654]|[2555.8512594525914, 6606.090477588033, 6599.436683536573, 2578.1831973534004]|0.016982316970825195|-4.8074871301651e-06|0.030895525589585304
79.0|9.0|50.94999694824219|5.9126220703125|[237.25482177734375, -67.37394714355469, -67.81666564941406, 237.50009155273438]|[-0.47450965642929077, -0.13474789261817932, 0.13563333451747894, 0.47500017285346985]|[8369.0454753839, 4459.789901005247, 4474.418690687794, 8373.370242438761]|0.016979694366455078|-2.1848827600479126e-06|0.020607775077223778
79.0|9.0|53.59999084472656|5.84657958984375|[118.28240966796875, 51.324249267578125, 50.83881759643555, 118.48287963867188]|[-0.23656481504440308, 0.10264850407838821, -0.10167764127254486, 0.23696576058864594]|[5909.197232051815, 3892.5097294473976, 3874.058055205322, 5914.202689286685]|0.017823219299316406|-0.000845709815621376|0.02659156732261181
