route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
1.0|13.0|10.0|9.7159375|[698.6283569335938, -445.4531555175781, -496.411376953125, 648.3921508789062]|[-1.3972567319869995, -0.8909063339233398, 0.9928227663040161, 1.2967842817306519]|[14361.225736825252, 11467.517825119343, 12105.682159962005, 13835.258514200541]|0.09135204553604126|0.03932395577430725|0.1597042977809906
1.0|13.0|11.0|9.6876591796875|[457.7614440917969, -204.3590087890625, -255.2702178955078, 407.6502380371094]|[-0.9155228734016418, -0.4087180197238922, 0.5105404257774353, 0.815300464630127]|[11624.867439692809, 7767.214480944809, 8680.97446076091, 10970.142123925785]|0.08306723833084106|0.047608762979507446|0.16943515837192535
1.0|13.0|12.050000190734863|9.659421875|[324.1325378417969, -71.85586547851562, -121.01782989501953, 275.75762939453125]|[-0.6482651233673096, -0.14371173083782196, 0.2420356571674347, 0.5515152812004089]|[9782.046406306159, 4605.741044607244, 5977.13526795856, 9022.609728839156]|0.09797424077987671|0.0327017605304718|0.17854908108711243
1.0|13.0|13.050000190734863|9.6312255859375|[348.2041015625, -94.89442443847656, -144.24502563476562, 299.7425842285156]|[-0.696408212184906, -0.1897888481616974, 0.28849005699157715, 0.5994851589202881]|[10138.771730116929, 5292.8398334020985, 6525.575617808137, 9406.815532988223]|0.08819949626922607|0.042476505041122437|0.18355593085289001
1.0|13.0|14.050000190734863|9.6030712890625|[470.4285583496094, -216.6490936279297, -265.80487060546875, 422.2535400390625]|[-0.9408571124076843, -0.4332982003688812, 0.5316097736358643, 0.844507098197937]|[11784.610780264371, 7997.363610479344, 8858.289538150191, 11164.905553284443]|0.09765446186065674|0.03302153944969177|0.1845754086971283
1.0|13.0|15.050000190734863|9.57495703125|[613.7803955078125, -359.9844055175781, -408.8990783691406, 565.9041748046875]|[-1.2275607585906982, -0.719968855381012, 0.8177981972694397, 1.1318084001541138]|[13460.925181016408, 10308.850649600743, 10986.932840832622, 12925.276813613687]|0.10729122161865234|0.023384779691696167|0.18303363025188446
1.0|13.0|16.049999237060547|9.546884765625|[858.3106689453125, -605.0512084960938, -654.0223999023438, 810.5191040039062]|[-1.7166213989257812, -1.2101024389266968, 1.3080447912216187, 1.6210383176803589]|[15918.079136177083, 13364.861740880024, 13895.197225991667, 15468.565186310056]|0.10481131076812744|0.02586469054222107|0.18068955838680267
1.0|13.0|17.049999237060547|9.518853515625|[763.957275390625, -510.828125, -559.6018676757812, 716.2400512695312]|[-1.5279145240783691, -1.0216562747955322, 1.119203805923462, 1.4324800968170166]|[15017.683234204662, 12280.210300775649, 12853.102816716733, 14541.114871433578]|0.10516417026519775|0.025511831045150757|0.1788736879825592
1.0|13.0|18.049999237060547|9.4908642578125|[751.6041259765625, -498.8125305175781, -547.7180786132812, 703.7466430664062]|[-1.5032082796096802, -0.9976251125335693, 1.0954360961914062, 1.4074933528900146]|[14895.770817861245, 12134.924576435575, 12715.895259641491, 14413.736291984756]|0.09893858432769775|0.03173741698265076|0.17823734879493713
1.0|13.0|19.049999237060547|9.4629150390625|[707.2958984375, -454.7322692871094, -503.8144226074219, 659.2592163085938]|[-1.4145917892456055, -0.9094644784927368, 1.0076287984848022, 1.3185184001922607]|[14450.037488847993, 11586.340598764393, 12195.614890885357, 13950.716360273093]|0.10243487358093262|0.028241127729415894|0.17872311174869537
1.0|13.0|20.049999237060547|9.4350078125|[657.486328125, -405.087646484375, -454.27099609375, 609.3635864257812]|[-1.3149726390838623, -0.8101752996444702, 0.9085419774055481, 1.2187272310256958]|[13931.945511048945, 10935.607233373283, 11580.462607787937, 13412.404828247289]|0.10595738887786865|0.02471861243247986|0.17990759015083313
1.0|13.0|21.049999237060547|9.4071416015625|[622.0013427734375, -369.7067565917969, -418.9288330078125, 573.8665161132812]|[-1.2440026998519897, -0.7394135594367981, 0.8378576636314392, 1.1477330923080444]|[13550.772843842346, 10447.132378409644, 11120.864007421354, 13015.889311563462]|0.095298171043396|0.035377830266952515|0.1812252700328827
1.0|13.0|22.049999237060547|9.37931640625|[606.9876098632812, -354.7579650878906, -403.9847106933594, 558.882080078125]|[-1.213975191116333, -0.7095159292221069, 0.8079694509506226, 1.1177641153335571]|[13386.231058818232, 10233.742415789897, 10920.709847895814, 12844.834008673257]|0.10519778728485107|0.025478214025497437|0.18228739500045776
1.0|13.0|23.049999237060547|9.3515322265625|[611.56396484375, -359.4462890625, -408.6006164550781, 563.5675659179688]|[-1.223127841949463, -0.7188925743103027, 0.8172011971473694, 1.127135157585144]|[13436.598735533413, 10301.142764581395, 10982.922340713063, 12898.565085972756]|0.09574007987976074|0.03493592143058777|0.18287020921707153
