route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|15.75|9.57495703125|[224.2764892578125, 32.185951232910156, -28.23294448852539, 164.08822631835938]|[-0.4485529959201813, 0.06437190622091293, 0.056465886533260345, 0.32817646861076355]|[8136.92435500825, 3082.489305086639, 2886.9980537927513, 6959.965939895023]|0.01857966184616089|0.07247425615787506|0.1262136995792389
79.0|11.0|18.25|9.4908642578125|[-45.04094314575195, 188.29115295410156, 240.3815460205078, 6.368509292602539]|[0.09008188545703888, 0.3765822947025299, -0.48076310753822327, 0.01273701898753643]|[3646.465777142826, 7455.613076318631, 8424.011790083096, 1371.157354442976]|0.01923292875289917|0.07182098925113678|0.17563596367835999
79.0|11.0|20.549999237060547|9.4350078125|[144.112060546875, 99.19468688964844, 52.57759475708008, 97.55232238769531]|[-0.28822413086891174, 0.19838938117027283, -0.10515519231557846, 0.19510464370250702]|[6522.56728604973, 5411.4370335696985, 3939.750881566365, 5366.45152143862]|0.018688619136810303|0.07236529886722565|0.14539727568626404
79.0|11.0|22.94999885559082|9.3515322265625|[331.3584289550781, -79.89337158203125, -138.56996154785156, 272.99896240234375]|[-0.6627168655395508, -0.15978674590587616, 0.27713993191719055, 0.5459979772567749]|[9890.481051002169, 4856.5043112161475, 6395.918958166933, 8977.365396733467]|0.017568469047546387|0.07348544895648956|0.1045173704624176
79.0|11.0|25.5|9.296087890625|[102.28416442871094, 132.703369140625, 93.82199096679688, 63.408050537109375]|[-0.20456832647323608, 0.2654067575931549, -0.18764397501945496, 0.12681610882282257]|[5495.0621009937295, 6259.063801559217, 5262.846780036575, 4326.538817719967]|0.018640190362930298|0.07241372764110565|0.1557321697473526
79.0|11.0|28.049999237060547|9.21323046875|[-240.6846160888672, 181.05880737304688, 432.1983947753906, 10.800896644592285]|[0.4813692271709442, 0.36211761832237244, -0.8643967509269714, 0.02160179428756237]|[8429.320562032939, 7311.024372140906, 11295.617530916088, 1785.6581040795118]|0.01790061593055725|0.0731533020734787|0.1916487216949463
79.0|11.0|30.499998092651367|9.1581982421875|[77.28414154052734, 145.6024169921875, 117.89521789550781, 49.51232147216797]|[-0.15456828474998474, 0.2912048399448395, -0.2357904314994812, 0.09902464598417282]|[4776.541964433258, 6556.207588656065, 5899.517567781401, 3823.182668363493]|0.0175665020942688|0.07348741590976715|0.15441927313804626
79.0|11.0|33.0|9.1033310546875|[305.8626708984375, -55.02603530883789, -114.10131072998047, 247.12867736816406]|[-0.6117253303527832, -0.11005207151174545, 0.22820262610912323, 0.4942573606967926]|[9502.363555981177, 4030.4405097568642, 5803.81713934744, 8541.418010207553]|0.018359601497650146|0.0726943165063858|0.10837888717651367
79.0|11.0|35.60000228881836|9.02133984375|[133.7562713623047, 106.87608337402344, 60.75777816772461, 87.74995422363281]|[-0.2675125300884247, 0.2137521654367447, -0.12151555716991425, 0.17549991607666016]|[6283.84524374478, 5617.054905577154, 4235.155355890439, 5089.696116491978]|0.017020702362060547|0.0740332156419754|0.14540734887123108
79.0|11.0|38.05000305175781|8.93971875|[335.8313903808594, -87.32477569580078, -145.1796112060547, 278.3458251953125]|[-0.6716627478599548, -0.17464955151081085, 0.290359228849411, 0.5566916465759277]|[9957.012394537735, 5077.350484766082, 6546.6815867897785, 9064.852878314772]|0.017919063568115234|0.07313485443592072|0.10437919199466705
