route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel 
1.0|10.0|18.049999237060547|9.4908642578125|[86.8730697631836, 86.82443237304688, 100.62841033935547, 100.68112182617188]|[-0.17374613881111145, 0.173648864030838, -0.20125681161880493, 0.2013622522354126]|[5064.201622501499, 5062.78378360427, 5450.404192816299, 5451.831529759136]|1.206285560328979e-07
1.0|10.0|19.049999237060547|9.4629150390625|[86.80911254882812, 86.76321411132812, 100.55448150634766, 100.60444641113281]|[-0.17361821234226227, 0.17352642118930817, -0.20110896229743958, 0.2012089043855667]|[5062.337109913843, 5060.99863243323, 5448.401696430103, 5449.75516700198]|5.943593350821175e-08
1.0|10.0|20.049999237060547|9.4350078125|[86.74400329589844, 86.70185852050781, 100.48113250732422, 100.52735137939453]|[-0.17348800599575043, 0.17340371012687683, -0.20096227526664734, 0.20105470716953278]|[5060.438306873218, 5059.208844670825, 5446.414178274502, 5447.666643157398]|4.894445737591013e-09
1.0|10.0|21.049999237060547|9.4071416015625|[86.67924499511719, 86.64177703857422, 100.40888977050781, 100.45042419433594]|[-0.1733584851026535, 0.17328356206417084, -0.2008177787065506, 0.2009008526802063]|[5058.549031776083, 5057.45560980603, 5444.45592699046, 5445.581867931872]|-5.9331796364858747e-08
1.0|10.0|22.049999237060547|9.37931640625|[86.61489868164062, 86.57976531982422, 100.33659362792969, 100.37580108642578]|[-0.17322979867458344, 0.17315952479839325, -0.2006731927394867, 0.20075160264968872]|[5056.671076951339, 5055.645411179005, 5442.495522685358, 5443.558771735358]|-5.873425834579393e-08
1.0|10.0|23.049999237060547|9.3515322265625|[86.55105590820312, 86.51663208007812, 100.26217651367188, 100.30066680908203]|[-0.17310212552547455, 0.17303326725959778, -0.20052434504032135, 0.20060132443904877]|[5054.807128475865, 5053.801807886866, 5440.476867667857, 5441.521057388409]|-8.477127266814932e-08
1.0|10.0|25.049999237060547|9.296087890625|[86.42723083496094, 86.39019775390625, 100.1143798828125, 100.15546417236328]|[-0.1728544533252716, 0.17278040945529938, -0.2002287656068802, 0.20031093060970306]|[5051.189980866991, 5050.107676315173, 5436.465481104581, 5437.580857398919]|-4.4193257053848356e-08
1.0|10.0|28.049999237060547|9.21323046875|[93.50267028808594, 93.54219055175781, 92.68663787841797, 92.65116119384766]|[-0.18700534105300903, 0.1870843917131424, -0.18537327647209167, 0.18530233204364777]|[5253.883166379466, 5254.99336415275, 5230.906633897571, 5229.905448667521]|7.73843567003496e-09
1.0|10.0|30.049999237060547|9.1581982421875|[86.11820220947266, 86.07853698730469, 99.74646759033203, 99.79017639160156]|[-0.17223641276359558, 0.17215707898139954, -0.199492946267128, 0.1995803564786911]|[5042.151393586553, 5040.990076439288, 5426.467000089971, 5427.655806047896]|1.4780653145862743e-08
1.0|10.0|33.04999923706055|9.0759599609375|[93.16278839111328, 93.20451354980469, 92.35212707519531, 92.3144302368164]|[-0.1863255798816681, 0.18640902638435364, -0.1847042441368103, 0.18462885916233063]|[5244.325549036462, 5245.499815200361, 5221.458797349561, 5220.393025586725]|-4.124444785702508e-08
1.0|10.0|36.04999923706055|8.994091796875|[85.85558319091797, 85.78184509277344, 99.24886322021484, 99.32662200927734]|[-0.17171116173267365, 0.17156368494033813, -0.1984977275133133, 0.19865325093269348]|[5034.457457375765, 5032.295040863859, 5412.914591450532, 5415.034612079967]|8.101551429717802e-09
1.0|10.0|38.04999923706055|8.93971875|[86.81187438964844, 86.8107681274414, 98.04923248291016, 98.05436706542969]|[-0.17362375557422638, 0.1736215353012085, -0.1960984617471695, 0.19610872864723206]|[5062.417638660555, 5062.385382824639, 5380.101922926174, 5380.242792033152]|1.8137370716431178e-08
1.0|10.0|41.04999923706055|8.85846875|[94.99368286132812, 95.03697967529297, 89.42076873779297, 89.38147735595703]|[-0.18998736143112183, 0.19007395207881927, -0.17884153127670288, 0.17876295745372772]|[5295.607233222492, 5296.813928206064, 5137.923144009013, 5136.79422125511]|2.4972450773930177e-09
1.0|10.0|43.04999923706055|8.8045087890625|[85.25093841552734, 85.19498443603516, 98.82978057861328, 98.88972473144531]|[-0.17050187289714813, 0.17038998007774353, -0.19765955209732056, 0.19777944684028625]|[5016.698351054943, 5015.051739787903, 5401.474368321217, 5403.112223432706]|-8.648385119158775e-09
1.0|9.0|1.0|8.723876953125|[-430.4724426269531, 601.97021484375, 613.8177490234375, -418.64886474609375]|[0.8609448671340942, 1.2039403915405273, -1.2276355028152466, -0.8372977375984192]|[11273.040864512071, 13330.790568779841, 13461.334778026127, 11117.14737457565]|4.272624209988862e-08
1.0|9.0|4.0|8.6436162109375|[-739.7283325195312, 872.3641357421875, 923.9044189453125, -688.849853515625]|[1.4794566631317139, 1.7447283267974854, -1.847808837890625, -1.3776997327804565]|[14777.621219574987, 16047.86659287782, 16515.127320070715, 14260.36656244137]|0.020478684455156326
1.0|9.0|6.0|8.5903154296875|[392.04180908203125, -192.47987365722656, -207.63352966308594, 376.9339599609375]|[-0.7840836048126221, -0.38495975732803345, 0.41526705026626587, 0.7538679242134094]|[10758.075709563382, 7538.085628003979, 7829.195672851804, 10548.750914364035]|0.032419800758361816
1.0|9.0|9.0|8.510671875|[198.5325927734375, -11.422600746154785, -14.79671859741211, 194.99029541015625]|[-0.3970651924610138, -0.022845201194286346, 0.029593436047434807, 0.38998058438301086]|[7655.689503562693, 1836.3307326274191, 2090.0232206523388, 7587.084179141295]|0.029254063963890076
1.0|9.0|12.0|8.431400390625|[-271.21844482421875, 405.6767883300781, 454.29913330078125, -223.18426513671875]|[0.5424368977546692, 0.8113535642623901, -0.9085983037948608, -0.4463685154914856]|[8948.042016059637, 10943.556479813104, 11580.821244847391, 8117.0868057662465]|0.023511528968811035
1.0|9.0|14.0|8.3787587890625|[180.54286193847656, 18.213542938232422, 2.4038798809051514, 164.74545288085938]|[-0.3610857129096985, 0.0364270843565464, -0.004807759542018175, 0.32949092984199524]|[7300.600187934623, 2318.8124364959103, 842.4124668361421, 6973.890471164384]|0.02515241503715515
1.0|9.0|17.000003814697266|8.30010546875|[31.150753021240234, 155.33450317382812, 151.62091064453125, 27.276798248291016]|[-0.062301505357027054, 0.3106690049171448, -0.3032418191432953, 0.054553598165512085]|[3032.513051998156, 6771.7726704948, 6690.336385607851, 2837.6909800525536]|0.026455551385879517
1.0|9.0|20.000003814697266|8.2218232421875|[-195.66102600097656, 329.4014892578125, 377.880859375, -147.82041931152344]|[0.3913220465183258, 0.6588029265403748, -0.7557617425918579, -0.29564082622528076]|[7600.122060703648, 9861.232154877938, 10561.992412701979, 6605.9551216477275]|0.027149081230163574
